binner	rank	precision	recall	predicted_size	real_size
stoic_albattani_0	superkingdom	1.00	0.03	82725900	2456897250
stoic_albattani_0	superkingdom	0.00	nan	6000	0
stoic_albattani_0	superkingdom	0.00	nan	2700	0
stoic_albattani_0	phylum	1.00	0.15	70426650	484269600
stoic_albattani_0	phylum	1.00	0.00	5738850	1226155350
stoic_albattani_0	phylum	1.00	0.00	2887200	662834550
stoic_albattani_0	phylum	0.98	0.01	1186800	83637750
stoic_albattani_0	phylum	0.00	nan	399000	0
stoic_albattani_0	phylum	0.00	nan	58800	0
stoic_albattani_0	phylum	0.00	nan	9600	0
stoic_albattani_0	phylum	0.00	nan	9300	0
stoic_albattani_0	phylum	0.00	nan	7950	0
stoic_albattani_0	phylum	0.00	nan	6300	0
stoic_albattani_0	phylum	0.00	nan	6150	0
stoic_albattani_0	phylum	0.00	nan	4950	0
stoic_albattani_0	phylum	0.00	nan	4650	0
stoic_albattani_0	phylum	0.00	nan	2850	0
stoic_albattani_0	phylum	0.00	nan	2400	0
stoic_albattani_0	phylum	0.00	nan	2100	0
stoic_albattani_0	phylum	0.00	nan	750	0
stoic_albattani_0	phylum	0.00	nan	300	0
stoic_albattani_0	phylum	0.00	nan	300	0
stoic_albattani_0	phylum	0.00	nan	300	0
stoic_albattani_0	phylum	0.00	nan	300	0
stoic_albattani_0	phylum	0.00	nan	150	0
stoic_albattani_0	phylum	0.00	nan	150	0
stoic_albattani_0	phylum	0.00	nan	150	0
stoic_albattani_0	phylum	0.00	nan	150	0
stoic_albattani_0	phylum	0.00	nan	150	0
stoic_albattani_0	phylum	0.00	nan	150	0
stoic_albattani_0	class	1.00	0.15	70382550	478681950
stoic_albattani_0	class	1.00	0.00	4860300	1226155350
stoic_albattani_0	class	1.00	0.00	2855850	662834550
stoic_albattani_0	class	0.98	0.01	1186800	83637750
stoic_albattani_0	class	0.00	nan	146700	0
stoic_albattani_0	class	0.00	nan	134850	0
stoic_albattani_0	class	0.73	0.00	30300	5587650
stoic_albattani_0	class	0.00	nan	19650	0
stoic_albattani_0	class	0.00	nan	17400	0
stoic_albattani_0	class	0.00	nan	17250	0
stoic_albattani_0	class	0.00	nan	10950	0
stoic_albattani_0	class	0.00	nan	9600	0
stoic_albattani_0	class	0.00	nan	9300	0
stoic_albattani_0	class	0.00	nan	8100	0
stoic_albattani_0	class	0.00	nan	6300	0
stoic_albattani_0	class	0.00	nan	6150	0
