rank	taxon	precision	recall	sum_prec_rec	#predictions
superkingdom	Bacteria	0.997705627706	0.682380952381	1.68008658009	29/29
superkingdom	Archaea	0.934090909091	0.653181818182	1.58727272727	22/22
phylum	Proteobacteria	0.993506493506	0.590086580087	1.58359307359	29/29
phylum	Actinobacteria	0.984935064935	0.611082251082	1.59601731602	29/29
phylum	Bacteroidetes	0.989696969697	0.501212121212	1.49090909091	29/29
phylum	Firmicutes	0.931991341991	0.541731601732	1.47372294372	29/29
phylum	Euryarchaeota	0.979545454545	0.502272727273	1.48181818182	22/22
phylum	Verrucomicrobia	0.974545454545	0.316363636364	1.29090909091	11/11
phylum	Fusobacteria	0.926363636364	0.303636363636	1.23	11/11
phylum	Thermotogae	0.986363636364	0.463636363636	1.45	11/11
phylum	Spirochaetes	0.920909090909	0.420909090909	1.34181818182	11/11
phylum	Fibrobacteres	0.975555555556	0.297777777778	1.27333333333	9/11
phylum	Tenericutes	0.909682539683	0.385478595479	1.29516113516	27/29
phylum	Nitrospirae	0.959090909091	0.340909090909	1.3	11/11
class	Alphaproteobacteria	0.99329004329	0.591645021645	1.58493506494	29/29
class	Actinobacteria	0.984935064935	0.611082251082	1.59601731602	29/29
class	Gammaproteobacteria	0.945021645022	0.578701298701	1.52372294372	29/29
class	Betaproteobacteria	0.989004329004	0.564935064935	1.55393939394	29/29
class	Deltaproteobacteria	0.984545454545	0.509696969697	1.49424242424	29/29
class	Clostridia	0.865238095238	0.435930735931	1.30116883117	29/29
class	Flavobacteriia	0.864199134199	0.484502164502	1.3487012987	29/29
class	Bacilli	0.951601731602	0.592077922078	1.54367965368	29/29
class	Cytophagia	0.909545454545	0.265909090909	1.17545454545	22/22
class	Sphingobacteriia	0.969090909091	0.416147186147	1.38523809524	29/29
class	Halobacteria	0.988465909091	0.544659090909	1.533125	19/22
class	Verrucomicrobiae	0.983636363636	0.287272727273	1.27090909091	11/11
class	Bacteroidia	0.751818181818	0.518636363636	1.27045454545	22/22
class	Negativicutes	0.953203463203	0.488831168831	1.44203463203	29/29
class	Fusobacteriia	0.926363636364	0.303636363636	1.23	11/11
class	Thermotogae	0.987272727273	0.457272727273	1.44454545455	11/11
class	Spirochaetia	0.920909090909	0.420909090909	1.34181818182	11/11
class	Fibrobacteria	0.984444444444	0.297777777778	1.28222222222	9/11
class	Mollicutes	0.909682539683	0.385478595479	1.29516113516	27/29
class	Nitrospira	0.961818181818	0.340909090909	1.30272727273	11/11
class	Epsilonproteobacteria	0.757777777778	0.698888888889	1.45666666667	9/11
order	Actinomycetales	0.986926406926	0.60987012987	1.5967965368	29/29
order	Rhizobiales	0.987727272727	0.52	1.50772727273	22/22
order	Burkholderiales	0.985497835498	0.55354978355	1.53904761905	29/29
order	Sphingomonadales	0.991363636364	0.536363636364	1.52772727273	22/22
order	Flavobacteriales	0.860995670996	0.440043290043	1.30103896104	29/29
order	Clostridiales	0.851731601732	0.400173160173	1.2519047619	29/29
order	Pseudomonadales	0.914718614719	0.589826839827	1.50454545455	29/29
order	Bacillales	0.958701298701	0.589956709957	1.54865800866	29/29
order	Xanthomonadales	0.977922077922	0.545454545455	1.52337662338	18/18
order	Cytophagales	0.909545454545	0.265909090909	1.17545454545	22/22
order	Desulfobacterales	0.99	0.514155844156	1.50415584416	18/18
order	Rhodobacterales	0.969523809524	0.573722943723	1.54324675325	29/29
order	Sphingobacteriales	0.969090909091	0.416147186147	1.38523809524	29/29
order	Caulobacterales	0.928181818182	0.527272727273	1.45545454545	22/22
order	Desulfovibrionales	0.972272727273	0.423636363636	1.39590909091	22/22
order	Enterobacteriales	0.862727272727	0.549090909091	1.41181818182	22/22
order	Halobacteriales	0.988465909091	0.544659090909	1.533125	19/22
order	Rhodospirillales	0.949090909091	0.491818181818	1.44090909091	22/22
