"name"	"contigs"	"Total length"	"misassemblies"	"Unaligned length"	"Genome fraction"	"Duplication ratio"	"mismatches"	"predicted genes"	"NA50"
"Gold_Standard"	39140	2795766632	0	2195	98.901	1.01	0	2351198	249666
"Minia_Pipeline"	574094	1852281271	1555	115902	65.725	1.007	9.84	2105340	8792
"Ray_MegaMerge"	319523	640156411	872	72891	22.704	1.008	36.19	825929	3566
"Megahit_mc300"	587607	1965527674	8831	2278284	69.337	1.012	70.46	2240863	8669
"Megahit_mc300_ep"	542635	1964675490	7029	1928937	69.43	1.011	63.68	2203585	10549
"Megahit_mc300_ep_mtl200"	513099	1944201212	7538	40876445	67.304	1.011	71.86	2165055	10382
"VELOUR_P256_K31_C2.0"	785677	1072704958	308	7635	38.181	1.004	5.47	1584184	1674
"VELOUR_P256_K31_C4.01"	574665	790491688	194	21150	28.118	1.004	0.63	1166794	1702
"VELOUR_P256_K63_C2.0"	842405	1064353860	381	56382	37.583	1.012	21.87	1590223	1444
"VELOUR_P256_K63_C4.01"	653803	752687256	381	92434	26.645	1.009	19.21	1171873	1213
"Velvet"	63536	45547808	41	61226	1.62	1.004	500.18	88325	693
"Ray_51"	344889	742565124	982	53750	25.613	1.036	34.3	933321	4253
"Ray_51_s"	324603	746134138	1047	47643	25.634	1.04	37.57	934145	5111
"Ray_71"	117904	171278818	159	4150	5.894	1.038	28.37	244594	1839
"Ray_71_s"	115197	171698491	160	4058	5.896	1.04	29.96	244563	1934
"Ray_91"	13847	12323681	11	249	0.431	1.022	6.92	21668	885
"Ray_91_s"	13787	12334816	11	249	0.431	1.023	7.22	21664	889
"Ray Blacklight"	265198	407196128	379	19760	13.911	1.046	27.1	574964	1990
"Meraga"	745109	1811857522	2334	2592339	63.976	1.011	34.83	2219054	4194
"OperaMS"	228594	373347299	430	23442	12.886	1.035	33.29	512483	2466
