"tool","precision","recall","precision_er","recall_er","real_size","predicted_size","dataset","binner"
"Gold Standard ",1,1,0,0,0.00596,0.00596,"low","adoring_lalande - Gold Standard_3"
"MyCC ",0.472,0.324,0.11,0.101,0.00629,0.00552,"low","berserk_euclid_2"
"MetaWatt-3.5 ",0.577,0.424,0.047,0.074,0.00725,0.00589,"low","berserk_hypatia_2"
"MetaBAT ",0.6,0.298,0.118,0.096,0.00596,0.00536,"low","elated_franklin_13"
"CONCOCT",0.51,0.263,0.153,0.096,0.00675,0.00562,"low","goofy_hypatia_10"
"MaxBin 2.0 ",0.919,0.653,0.043,0.109,0.00596,0.00423,"low","naughty_carson_2"
"Gold Standard ",1,1,0,0,0.02237,0.02237,"medium","adoring_lalande - Gold Standard_1"
"MyCC ",0.399,0.294,0.027,0.053,0.02543,0.02078,"medium","berserk_euclid_1"
"MetaWatt-3.5 ",0.815,0.255,0.021,0.027,0.06334,0.01977,"medium","berserk_hypatia_1"
"MetaBAT ",0.717,0.407,0.032,0.043,0.02844,0.0189,"medium","elated_franklin_12"
"CONCOCT",0.672,0.463,0.052,0.063,0.02516,0.02094,"medium","goofy_hypatia_11"
"MaxBin 2.0 ",0.92,0.507,0.023,0.055,0.02574,0.01325,"medium","naughty_carson_1"
"Gold Standard ",1,1,0,0,0.116,0.116,"high","adoring_lalande - Gold Standard_0"
"MyCC ",0.329,0.229,0.019,0.023,0.12367,0.09952,"high","berserk_euclid_0"
"MetaWatt-3.5 ",0.85,0.268,0.01,0.013,0.33356,0.10283,"high","berserk_hypatia_0"
"MetaBAT ",0.549,0.189,0.031,0.02,0.12283,0.06188,"high","elated_franklin_11"
"CONCOCT",0.458,0.27,0.035,0.026,0.12116,0.10829,"high","goofy_hypatia_12"
"MaxBin 2.0 ",0.941,0.137,0.018,0.021,0.117,0.01617,"high","naughty_carson_0"
