"tool","precision","recall","precision_er","recall_er","real_size","predicted_size","dataset","binner"
"Gold Standard ",1,1,0,0,0.00953,0.00953,"low","adoring_lalande - Gold Standard_3"
"MyCC ",0.884,0.86,0.037,0.06,0.00953,0.00951,"low","berserk_euclid_2"
"MetaWatt-3.5 ",0.958,0.834,0.018,0.066,0.0104,0.00926,"low","berserk_hypatia_2"
"MetaBAT ",0.958,0.761,0.027,0.07,0.0105,0.00886,"low","elated_franklin_0"
"CONCOCT",0.94,0.753,0.027,0.079,0.01103,0.00937,"low","goofy_hypatia_10"
"MaxBin 2.0 ",0.964,0.918,0.009,0.046,0.00953,0.00918,"low","naughty_carson_2"
"Gold Standard ",1,1,0,0,0.03362,0.03362,"medium","adoring_lalande - Gold Standard_1"
"MyCC ",0.875,0.629,0.022,0.043,0.04291,0.03381,"medium","berserk_euclid_1"
"MetaWatt-3.5 ",0.802,0.444,0.025,0.038,0.06548,0.03288,"medium","berserk_hypatia_1"
"MetaBAT ",0.945,0.698,0.016,0.042,0.03956,0.03158,"medium","elated_franklin_1"
"CONCOCT",0.92,0.77,0.02,0.042,0.0371,0.03326,"medium","goofy_hypatia_1"
"MaxBin 2.0 ",0.932,0.854,0.014,0.033,0.0349,0.03255,"medium","naughty_carson_1"
"Gold Standard ",1,1,0,0,0.16354,0.16354,"high","adoring_lalande - Gold Standard_0"
"MyCC ",0.82,0.703,0.015,0.02,0.17619,0.18039,"high","berserk_euclid_0"
"MetaWatt-3.5 ",0.96,0.838,0.006,0.016,0.18717,0.16327,"high","berserk_hypatia_0"
"MetaBAT ",0.848,0.584,0.017,0.022,0.18074,0.19378,"high","elated_franklin_11"
"CONCOCT",0.84,0.676,0.016,0.023,0.16867,0.1715,"high","goofy_hypatia_12"
"MaxBin 2.0 ",0.966,0.715,0.005,0.022,0.16681,0.12053,"high","naughty_carson_0"
