binner	rank	precision	recall	predicted_size	real_size
modest_babbage_1	superkingdom	1.00	0.95	183812126	193123679
modest_babbage_1	superkingdom	0.00	nan	2258997	0
modest_babbage_1	phylum	1.00	0.96	76754334	79486171
modest_babbage_1	phylum	1.00	0.94	75052353	79639716
modest_babbage_1	phylum	0.99	0.90	15755891	17369146
modest_babbage_1	phylum	0.99	0.89	14935961	16628646
modest_babbage_1	phylum	0.00	nan	171230	0
modest_babbage_1	phylum	0.00	nan	53819	0
modest_babbage_1	phylum	0.00	nan	7560	0
modest_babbage_1	class	1.00	0.96	76754334	79486171
modest_babbage_1	class	1.00	0.98	37659290	38115757
modest_babbage_1	class	1.00	0.88	33579733	37916224
modest_babbage_1	class	1.00	0.82	10281622	12477691
modest_babbage_1	class	0.00	nan	6405848	0
modest_babbage_1	class	0.98	0.98	4134008	4150955
modest_babbage_1	class	0.97	0.99	3683413	3607735
modest_babbage_1	class	0.99	1.00	2994887	2957608
modest_babbage_1	class	0.99	0.16	2406932	14411538
modest_babbage_1	class	0.00	nan	1339044	0
modest_babbage_1	class	0.00	nan	50712	0
modest_babbage_1	class	0.00	nan	11980	0
modest_babbage_1	class	0.00	nan	10151	0
modest_babbage_1	class	0.00	nan	7560	0
modest_babbage_1	order	1.00	0.99	76120282	77000584
modest_babbage_1	order	1.00	1.00	37540208	37691258
modest_babbage_1	order	1.00	0.67	20394395	30463517
modest_babbage_1	order	1.00	0.77	9615116	12477691
modest_babbage_1	order	0.98	0.94	7157394	7452707
modest_babbage_1	order	0.00	nan	6405848	0
modest_babbage_1	order	0.98	0.98	4134008	4150955
modest_babbage_1	order	1.00	0.99	3578907	3607735
modest_babbage_1	order	0.99	1.00	2982942	2957608
modest_babbage_1	order	0.99	0.16	2406932	14411538
modest_babbage_1	order	0.00	nan	1339044	0
modest_babbage_1	order	0.00	nan	285170	0
modest_babbage_1	order	0.00	nan	260450	0
modest_babbage_1	order	0.00	nan	164197	0
modest_babbage_1	order	0.71	0.02	78368	2485587
modest_babbage_1	order	0.00	nan	37543	0
modest_babbage_1	order	0.00	nan	26787	0
modest_babbage_1	order	0.00	nan	25513	0
modest_babbage_1	order	0.00	nan	25199	0
modest_babbage_1	order	0.00	nan	17609	0
modest_babbage_1	order	0.00	nan	12230	0
modest_babbage_1	order	0.00	nan	8832	0
modest_babbage_1	order	0.00	nan	3806	0
modest_babbage_1	order	0.00	nan	2152	0
modest_babbage_1	family	1.00	0.88	33306614	37691258
modest_babbage_1	family	1.00	0.94	30755645	32681267
modest_babbage_1	family	1.00	0.99	18371558	18428033
modest_babbage_1	family	0.00	nan	9007251	0
modest_babbage_1	family	1.00	0.97	8498971	8785183
modest_babbage_1	family	1.00	0.99	7708864	7749681
modest_babbage_1	family	1.00	0.79	6826933	8674992
modest_babbage_1	family	1.00	0.89	6639489	7452707
modest_babbage_1	family	0.95	0.65	5719538	8387126
modest_babbage_1	family	1.00	0.49	4329629	8874968
modest_babbage_1	family	0.91	0.93	4242110	4125126
modest_babbage_1	family	0.99	0.98	4114243	4150955
modest_babbage_1	family	0.99	1.00	3908122	3867194
modest_babbage_1	family	1.00	0.99	3578907	3607735
modest_babbage_1	family	0.99	1.00	2973609	2957608
modest_babbage_1	family	0.86	0.97	2498636	2232591
modest_babbage_1	family	0.00	nan	1256276	0
modest_babbage_1	family	0.00	nan	1255782	0
modest_babbage_1	family	1.00	0.03	502896	14411538
modest_babbage_1	family	0.00	nan	266107	0
modest_babbage_1	family	0.14	0.00	228956	9113781
modest_babbage_1	family	0.00	nan	217275	0
modest_babbage_1	family	0.00	nan	190790	0
modest_babbage_1	family	0.00	nan	149577	0
modest_babbage_1	family	0.00	nan	94713	0
modest_babbage_1	family	0.00	nan	83511	0
modest_babbage_1	family	0.71	0.02	78368	2485587
modest_babbage_1	family	0.00	nan	73637	0
modest_babbage_1	family	0.00	nan	60978	0
modest_babbage_1	family	0.00	nan	37543	0
modest_babbage_1	family	0.00	nan	34610	0
modest_babbage_1	family	0.00	nan	33168	0
modest_babbage_1	family	0.00	nan	19827	0
modest_babbage_1	family	0.00	nan	16441	0
modest_babbage_1	family	0.00	nan	15583	0
modest_babbage_1	family	0.30	0.00	14956	5163876
modest_babbage_1	family	0.00	nan	13493	0
modest_babbage_1	family	0.00	nan	10167	0
modest_babbage_1	family	0.00	nan	8878	0
modest_babbage_1	family	0.00	nan	6691	0
modest_babbage_1	family	0.00	nan	4851	0
modest_babbage_1	family	0.00	nan	3806	0
modest_babbage_1	family	0.00	nan	3802	0
modest_babbage_1	family	0.00	nan	3048	0
modest_babbage_1	family	0.00	nan	2152	0
modest_babbage_1	genus	0.00	nan	18343127	0
modest_babbage_1	genus	0.00	nan	17977607	0
modest_babbage_1	genus	0.00	nan	12913867	0
modest_babbage_1	genus	0.99	1.00	12405037	12272270
modest_babbage_1	genus	1.00	0.50	10305557	20408997
modest_babbage_1	genus	0.00	nan	7696353	0
modest_babbage_1	genus	0.00	nan	6693243	0
modest_babbage_1	genus	0.00	nan	4980441	0
modest_babbage_1	genus	1.00	0.49	4322044	8874968
modest_babbage_1	genus	0.00	nan	4183728	0
modest_babbage_1	genus	0.00	nan	4055380	0
modest_babbage_1	genus	0.00	nan	3451880	0
modest_babbage_1	genus	0.70	0.89	3100569	2455797
modest_babbage_1	genus	0.00	nan	2932563	0
modest_babbage_1	genus	0.00	nan	2148445	0
modest_babbage_1	genus	0.00	nan	2144347	0
modest_babbage_1	genus	0.00	nan	1254253	0
modest_babbage_1	genus	0.00	nan	962350	0
modest_babbage_1	genus	0.00	nan	336166	0
modest_babbage_1	genus	0.00	nan	198865	0
modest_babbage_1	genus	1.00	0.09	195414	2232591
modest_babbage_1	genus	0.00	nan	194681	0
modest_babbage_1	genus	0.00	nan	192413	0
modest_babbage_1	genus	0.00	nan	132811	0
modest_babbage_1	genus	1.00	0.03	125345	3607735
modest_babbage_1	genus	0.00	nan	112621	0
modest_babbage_1	genus	0.00	nan	63742	0
modest_babbage_1	genus	0.00	nan	59478	0
modest_babbage_1	genus	0.00	nan	58536	0
modest_babbage_1	genus	0.00	nan	47953	0
modest_babbage_1	genus	0.00	nan	41634	0
modest_babbage_1	genus	0.00	nan	39187	0
modest_babbage_1	genus	0.00	nan	38855	0
modest_babbage_1	genus	0.00	nan	36335	0
modest_babbage_1	genus	0.00	nan	32980	0
modest_babbage_1	genus	0.00	nan	31481	0
modest_babbage_1	genus	0.00	nan	21785	0
modest_babbage_1	genus	0.00	nan	16441	0
modest_babbage_1	genus	0.00	nan	14442	0
modest_babbage_1	genus	0.00	nan	11354	0
modest_babbage_1	genus	0.00	nan	10120	0
modest_babbage_1	genus	0.00	nan	9218	0
modest_babbage_1	genus	0.00	nan	8893	0
modest_babbage_1	genus	0.00	nan	8107	0
modest_babbage_1	genus	0.00	nan	6691	0
modest_babbage_1	genus	0.00	nan	5990	0
modest_babbage_1	genus	0.00	nan	5956	0
modest_babbage_1	genus	0.00	nan	5022	0
modest_babbage_1	genus	0.00	nan	4096	0
modest_babbage_1	genus	0.00	nan	3806	0
modest_babbage_1	genus	0.00	nan	3802	0
modest_babbage_1	genus	0.00	nan	3048	0
modest_babbage_1	genus	0.00	nan	2857	0
modest_babbage_1	genus	0.00	nan	2592	0
modest_babbage_1	genus	0.00	nan	2182	0
modest_babbage_1	genus	0.00	nan	2152	0
modest_babbage_1	genus	0.00	nan	1717	0
modest_babbage_1	genus	0.00	nan	1245	0
modest_babbage_1	species	0.00	nan	14943594	0
modest_babbage_1	species	0.00	nan	14433291	0
modest_babbage_1	species	0.99	1.00	12405037	12272270
modest_babbage_1	species	0.00	nan	11801900	0
modest_babbage_1	species	0.16	0.16	10305557	10667666
modest_babbage_1	species	0.00	nan	7696353	0
modest_babbage_1	species	0.00	nan	6688503	0
