"tool","precision","precision_sd","recall","recall_sd","accuracy","misclassification_rate","level"
"Gold Standard  ",100,0,100,0,100,0,"superkingdom"
"Gold Standard  ",100,0,100,0,100,0,"phylum"
"Gold Standard  ",100,0,100,0,100,0,"class"
"Gold Standard  ",100,0,100,0,100,0,"order"
"Gold Standard  ",100,0,100,0,100,0,"family"
"Gold Standard  ",100,0,100,0,100,0,"genus"
"Gold Standard  ",100,0,100,0,100,0,"species"
"Kraken 0.10.6-unreleased ",99.72,0.45,99.31,0.79,98.71,0.45,"superkingdom"
"Kraken 0.10.6-unreleased ",85.19,5.9,78.8,4.48,97.6,1.14,"phylum"
"Kraken 0.10.6-unreleased ",80.17,6.11,84.15,4.15,96.12,2.01,"class"
"Kraken 0.10.6-unreleased ",82.74,5.74,83.52,4.44,94.55,3.27,"order"
"Kraken 0.10.6-unreleased ",81.94,5.61,75.8,5.57,88.85,8.36,"family"
"Kraken 0.10.6-unreleased ",38.95,6.7,50.32,6.64,68.93,26.96,"genus"
"Kraken 0.10.6-unreleased ",1.3,3.32,5.68,4.71,12.98,75.93,"species"
"taxator-tk 1.3.0e",99.71,0,1.91,0.37,1.77,0,"superkingdom"
"taxator-tk 1.3.0e",99.73,0.72,2.16,1.49,1.72,0,"phylum"
"taxator-tk 1.3.0e",99.64,0.98,1.86,1.36,1.6,0,"class"
"taxator-tk 1.3.0e",99.34,1.61,1.51,1.27,1.49,0,"order"
"taxator-tk 1.3.0e",97.46,3.85,1.15,1.33,1.35,0.01,"family"
"taxator-tk 1.3.0e",87.78,5.64,0.55,1.21,0.7,0.07,"genus"
"taxator-tk 1.3.0e",16.67,6.1,0.03,0.65,0.05,0.03,"species"
"taxator-tk 1.4pre1e",99.71,0,1.91,0.37,1.77,0,"superkingdom"
"taxator-tk 1.4pre1e",99.65,0.79,2.17,1.49,1.76,0,"phylum"
"taxator-tk 1.4pre1e",99.59,0.98,1.89,1.36,1.67,0,"class"
"taxator-tk 1.4pre1e",99.31,1.61,1.53,1.27,1.59,0,"order"
"taxator-tk 1.4pre1e",97.46,3.85,1.15,1.33,1.36,0.01,"family"
"taxator-tk 1.4pre1e",87.78,5.64,0.55,1.21,0.7,0.07,"genus"
"taxator-tk 1.4pre1e",16.67,6.1,0.03,0.65,0.05,0.03,"species"
"MEGAN 6.4.9 ",99.55,0,86.6,2.42,80.8,0.07,"superkingdom"
"MEGAN 6.4.9 ",84,5.86,39.7,3.52,49.94,0.71,"phylum"
"MEGAN 6.4.9 ",88.12,4.88,40.7,3.3,47.21,1.51,"class"
"MEGAN 6.4.9 ",78.83,5.71,38.79,3.34,45.28,1.9,"order"
"MEGAN 6.4.9 ",55.91,6.44,33.4,3.73,38.14,3.81,"family"
"MEGAN 6.4.9 ",16.39,5.83,18.99,4.23,26.62,7.06,"genus"
"MEGAN 6.4.9 ",0.65,2.78,2.43,3.01,3.12,15.5,"species"
"MEGAN 6.4.9 ",99.54,0,86.72,2.35,81.26,0.08,"superkingdom"
"MEGAN 6.4.9 ",97.39,1.29,39.6,3.52,50.13,0.68,"phylum"
"MEGAN 6.4.9 ",89.06,4.87,40.76,3.3,47.31,1.5,"class"
"MEGAN 6.4.9 ",81.12,5.41,38.9,3.32,45.36,1.9,"order"
"MEGAN 6.4.9 ",57.59,6.5,33.44,3.76,38.49,3.67,"family"
"MEGAN 6.4.9 ",16.19,5.83,19.04,4.24,26.41,7.35,"genus"
"MEGAN 6.4.9 ",0.66,2.79,2.42,3.01,4.76,13.98,"species"
"MEGAN 6.4.9 ",99.55,0,86.56,2.4,80.89,0.08,"superkingdom"
"MEGAN 6.4.9 ",97.5,1.39,39.34,3.5,50.08,0.67,"phylum"
"MEGAN 6.4.9 ",83.33,5.58,40.23,3.3,47.03,1.59,"class"
"MEGAN 6.4.9 ",79.11,5.64,38.79,3.27,45.01,2.03,"order"
"MEGAN 6.4.9 ",57.65,6.5,33.29,3.75,37.95,4.03,"family"
"MEGAN 6.4.9 ",16.24,5.83,19.1,4.24,26.07,7.56,"genus"
"MEGAN 6.4.9 ",0.67,2.81,2.43,3.01,4.08,14.21,"species"
"MEGAN 6.4.9 ",99.58,0,86.62,2.35,81.19,0.08,"superkingdom"
"MEGAN 6.4.9 ",97.81,1.3,39.47,3.49,50.37,0.62,"phylum"
"MEGAN 6.4.9 ",88.43,4.89,40.51,3.28,47.49,1.46,"class"
"MEGAN 6.4.9 ",81.53,5.38,38.69,3.28,45.37,1.94,"order"
"MEGAN 6.4.9 ",59.2,6.47,33.21,3.74,38.69,3.79,"family"
"MEGAN 6.4.9 ",16.15,5.83,19.11,4.23,26.51,7.32,"genus"
"MEGAN 6.4.9 ",0.63,2.77,2.42,3.01,3.17,14.53,"species"
"MEGAN 6.4.9 ",98.93,0.78,86.86,2.3,81.66,0.09,"superkingdom"
"MEGAN 6.4.9 ",97.98,1.28,40.02,3.47,50.63,0.59,"phylum"
"MEGAN 6.4.9 ",88.74,4.9,40.89,3.27,47.97,1.34,"class"
"MEGAN 6.4.9 ",84.17,5.1,39.16,3.27,45.81,1.84,"order"
"MEGAN 6.4.9 ",62.05,6.41,33.52,3.73,39.55,3.48,"family"
"MEGAN 6.4.9 ",16.88,5.88,19.08,4.23,27.57,6.91,"genus"
"MEGAN 6.4.9 ",0.66,2.79,2.42,3.01,3.88,14.34,"species"
"PhyloPythiaS+ mg c400 ",99.9,0,28.38,4.58,49.05,0.03,"superkingdom"
"PhyloPythiaS+ mg c400 ",98.27,1.72,27.1,4.04,42.26,0.91,"phylum"
"PhyloPythiaS+ mg c400 ",99.34,1.38,30.36,3.98,41.27,0.91,"class"
"PhyloPythiaS+ mg c400 ",99.6,1.18,29.46,3.82,40.32,0.92,"order"
"PhyloPythiaS+ mg c400 ",96.33,4.14,26.94,4.19,34.62,0.94,"family"
"PhyloPythiaS+ mg c400 ",68.4,6.62,15.5,4.35,20.63,5.11,"genus"
"PhyloPythiaS+ mg c400 ",13.27,5.8,1.91,2.36,2.98,12.48,"species"
"PhyloPythiaS+  c400",99.72,0,99.81,0.3,99.9,0,"superkingdom"
"PhyloPythiaS+  c400",99.57,0.59,96.37,2.94,99.68,0.13,"phylum"
"PhyloPythiaS+  c400",97.71,2.46,96.38,2.73,98.36,0.96,"class"
"PhyloPythiaS+  c400",92.31,4.3,94.37,3.18,97.26,1.63,"order"
"PhyloPythiaS+  c400",88.59,5.16,85.81,5,92.05,4.55,"family"
