"tool","precision","precision_sd","recall","recall_sd","accuracy","misclassification_rate","level"
"Gold Standard  ",100,0,100,0,100,0,"superkingdom"
"Gold Standard  ",100,0,100,0,100,0,"phylum"
"Gold Standard  ",100,0,100,0,100,0,"class"
"Gold Standard  ",100,0,100,0,100,0,"order"
"Gold Standard  ",100,0,100,0,100,0,"family"
"Gold Standard  ",100,0,100,0,100,0,"genus"
"Gold Standard  ",100,0,100,0,100,0,"species"
"Kraken 0.10.6-unreleased ",49.86,7.06,99.31,0.79,98.71,0.45,"superkingdom"
"Kraken 0.10.6-unreleased ",32.01,6.8,78.8,4.48,97.6,1.14,"phylum"
"Kraken 0.10.6-unreleased ",25.79,6.55,84.15,4.15,96.12,2.01,"class"
"Kraken 0.10.6-unreleased ",24.31,6.47,83.52,4.44,94.55,3.27,"order"
"Kraken 0.10.6-unreleased ",25.43,6.45,75.8,5.57,88.85,8.36,"family"
"Kraken 0.10.6-unreleased ",13.67,5.7,50.32,6.64,68.93,26.96,"genus"
"Kraken 0.10.6-unreleased ",0.64,2.78,5.68,4.71,12.98,75.93,"species"
"taxator-tk 1.3.0e",66.57,6.86,1.91,0.37,1.77,0,"superkingdom"
"taxator-tk 1.3.0e",91.51,5.25,2.16,1.49,1.72,0,"phylum"
"taxator-tk 1.3.0e",94.73,4.66,1.86,1.36,1.6,0,"class"
"taxator-tk 1.3.0e",96.75,4.06,1.51,1.27,1.49,0,"order"
"taxator-tk 1.3.0e",98.1,3.59,1.15,1.33,1.35,0.01,"family"
"taxator-tk 1.3.0e",81.25,6.17,0.55,1.21,0.7,0.07,"genus"
"taxator-tk 1.3.0e",16.67,6.1,0.03,0.65,0.05,0.03,"species"
"taxator-tk 1.4pre1e",66.57,6.86,1.91,0.37,1.77,0,"superkingdom"
"taxator-tk 1.4pre1e",91.46,5.25,2.17,1.49,1.76,0,"phylum"
"taxator-tk 1.4pre1e",94.69,4.66,1.89,1.36,1.67,0,"class"
"taxator-tk 1.4pre1e",96.73,4.06,1.53,1.27,1.59,0,"order"
"taxator-tk 1.4pre1e",98.09,3.59,1.15,1.33,1.36,0.01,"family"
"taxator-tk 1.4pre1e",81.25,6.17,0.55,1.21,0.7,0.07,"genus"
"taxator-tk 1.4pre1e",16.67,6.1,0.03,0.65,0.05,0.03,"species"
"MEGAN 6.4.9 ",4.1,4.44,86.6,2.42,80.8,0.07,"superkingdom"
"MEGAN 6.4.9 ",2.66,3.95,39.7,3.52,49.94,0.71,"phylum"
"MEGAN 6.4.9 ",2.64,3.92,40.7,3.3,47.21,1.51,"class"
"MEGAN 6.4.9 ",3.26,4.1,38.79,3.34,45.28,1.9,"order"
"MEGAN 6.4.9 ",4.83,4.46,33.4,3.73,38.14,3.81,"family"
"MEGAN 6.4.9 ",4.21,4.32,18.99,4.23,26.62,7.06,"genus"
"MEGAN 6.4.9 ",0.73,2.89,2.43,3.01,3.12,15.5,"species"
"MEGAN 6.4.9 ",5.04,4.66,86.72,2.35,81.26,0.08,"superkingdom"
"MEGAN 6.4.9 ",2.66,3.96,39.6,3.52,50.13,0.68,"phylum"
"MEGAN 6.4.9 ",2.68,3.96,40.76,3.3,47.31,1.5,"class"
"MEGAN 6.4.9 ",3.33,4.14,38.9,3.32,45.36,1.9,"order"
"MEGAN 6.4.9 ",4.95,4.51,33.44,3.76,38.49,3.67,"family"
"MEGAN 6.4.9 ",4.25,4.34,19.04,4.24,26.41,7.35,"genus"
"MEGAN 6.4.9 ",0.76,2.92,2.42,3.01,4.76,13.98,"species"
"MEGAN 6.4.9 ",4.71,4.59,86.56,2.4,80.89,0.08,"superkingdom"
"MEGAN 6.4.9 ",2.69,3.98,39.34,3.5,50.08,0.67,"phylum"
"MEGAN 6.4.9 ",2.66,3.95,40.23,3.3,47.03,1.59,"class"
"MEGAN 6.4.9 ",3.34,4.14,38.79,3.27,45.01,2.03,"order"
"MEGAN 6.4.9 ",4.95,4.51,33.29,3.75,37.95,4.03,"family"
"MEGAN 6.4.9 ",4.32,4.35,19.1,4.24,26.07,7.56,"genus"
"MEGAN 6.4.9 ",0.78,2.93,2.43,3.01,4.08,14.21,"species"
"MEGAN 6.4.9 ",4.49,4.54,86.62,2.35,81.19,0.08,"superkingdom"
"MEGAN 6.4.9 ",2.67,3.97,39.47,3.49,50.37,0.62,"phylum"
"MEGAN 6.4.9 ",2.7,3.96,40.51,3.28,47.49,1.46,"class"
"MEGAN 6.4.9 ",3.4,4.16,38.69,3.28,45.37,1.94,"order"
"MEGAN 6.4.9 ",5.03,4.53,33.21,3.74,38.69,3.79,"family"
"MEGAN 6.4.9 ",4.44,4.39,19.11,4.23,26.51,7.32,"genus"
"MEGAN 6.4.9 ",0.79,2.95,2.42,3.01,3.17,14.53,"species"
"MEGAN 6.4.9 ",4.95,4.64,86.86,2.3,81.66,0.09,"superkingdom"
"MEGAN 6.4.9 ",2.8,4.02,40.02,3.47,50.63,0.59,"phylum"
"MEGAN 6.4.9 ",2.79,3.99,40.89,3.27,47.97,1.34,"class"
"MEGAN 6.4.9 ",3.46,4.19,39.16,3.27,45.81,1.84,"order"
"MEGAN 6.4.9 ",5.11,4.55,33.52,3.73,39.55,3.48,"family"
"MEGAN 6.4.9 ",4.43,4.39,19.08,4.23,27.57,6.91,"genus"
"MEGAN 6.4.9 ",0.83,2.98,2.42,3.01,3.88,14.34,"species"
"PhyloPythiaS+ mg c400 ",99.38,0.73,28.38,4.58,49.05,0.03,"superkingdom"
"PhyloPythiaS+ mg c400 ",79.51,6.31,27.1,4.04,42.26,0.91,"phylum"
"PhyloPythiaS+ mg c400 ",87.03,5.74,30.36,3.98,41.27,0.91,"class"
"PhyloPythiaS+ mg c400 ",88.62,5.6,29.46,3.82,40.32,0.92,"order"
"PhyloPythiaS+ mg c400 ",83.56,6.01,26.94,4.19,34.62,0.94,"family"
"PhyloPythiaS+ mg c400 ",62.34,6.85,15.5,4.35,20.63,5.11,"genus"
"PhyloPythiaS+ mg c400 ",25.24,6.58,1.91,2.36,2.98,12.48,"species"
"PhyloPythiaS+  c400",99.82,0.3,99.81,0.3,99.9,0,"superkingdom"
"PhyloPythiaS+  c400",90.55,5.12,96.37,2.94,99.68,0.13,"phylum"
"PhyloPythiaS+  c400",90.23,4.88,96.38,2.73,98.36,0.96,"class"
"PhyloPythiaS+  c400",88.25,5.08,94.37,3.18,97.26,1.63,"order"
