"tool","precision","recall","precision_er","recall_er","real_size","predicted_size","dataset","binner"
"Gold Standard ",0.977,0.955,0.023,0.045,0.00953,0.00953,"low","adoring_lalande - Gold Standard_3"
"taxator-tk 1.3.0e",0.823,0.088,0.039,0.013,0.03405,0.00401,"low","fervent_sammet_2"
"MEGAN 6.4.9",0.768,0.001,0.007,0,876.77766,0.92607,"low","lonely_davinci_0"
"PhyloPythiaS+ ",0.798,0.241,0.04,0.043,0.03457,0.01024,"low","modest_babbage_5"
"Kraken 0.10.6-unreleased",0.921,0.028,0.012,0.004,0.25639,0.0111,"low","prickly_fermi_0"
"Gold Standard ",0.946,0.91,0.022,0.033,0.03362,0.03673,"medium","adoring_lalande - Gold Standard_1"
"taxator-tk 1.3.0e",0.845,0.032,0.029,0.004,0.06571,0.00295,"medium","fervent_sammet_11"
"MEGAN 6.4.9",0.775,0.005,0.009,0.001,83.3094,0.3126,"medium","lonely_davinci_7"
"PhyloPythiaS+ ",0.759,0.304,0.026,0.03,0.08644,0.03321,"medium","modest_babbage_2"
"Kraken 0.10.6-unreleased",0.908,0.048,0.009,0.005,0.50212,0.03388,"medium","prickly_fermi_1"
"Gold Standard ",0.914,0.728,0.015,0.024,0.16354,0.20083,"high","adoring_lalande - Gold Standard_0"
"taxator-tk 1.3.0e",0.821,0.012,0.029,0.002,0.16985,0.00274,"high","fervent_sammet_10"
"MEGAN 6.4.9",0.456,0.007,0.006,0,50.71225,0.9549,"high","lonely_davinci_1"
"PhyloPythiaS+ ",0.728,0.403,0.018,0.019,0.23479,0.21553,"high","modest_babbage_3"
"Kraken 0.10.6-unreleased",0.799,0.112,0.008,0.005,0.86305,0.18012,"high","prickly_fermi_2"
