"tool","precision","recall","precision_er","recall_er","real_size","predicted_size","dataset","binner"
"Gold Standard ",1,1,0,0,0.10069,0.10882,"low","adoring_lalande - Gold Standard_3"
"taxator-tk 1.3.0e",0.871,0.251,0.042,0.017,0.08189,0.10882,"low","fervent_sammet_2"
"MEGAN 6.4.9",0.052,0.302,0.007,0.024,8.70186,10.47862,"low","lonely_davinci_0"
"PhyloPythiaS+ ",0.699,0.815,0.047,0.035,0.08967,0.10882,"low","modest_babbage_5"
"Kraken 0.10.6-unreleased",0.094,0.703,0.012,0.044,0.08192,0.10882,"low","prickly_fermi_10"
"Gold Standard ",1,1,0,0,0.36524,0.39342,"medium","adoring_lalande - Gold Standard_1"
"taxator-tk 1.3.0e",0.887,0.068,0.036,0.004,0.31718,0.39342,"medium","fervent_sammet_11"
"MEGAN 6.4.9",0.213,0.417,0.016,0.014,2.87806,3.47975,"medium","lonely_davinci_6"
"PhyloPythiaS+ ",0.646,0.807,0.03,0.023,0.32856,0.39342,"medium","modest_babbage_1"
"Kraken 0.10.6-unreleased",0.309,0.805,0.02,0.021,0.32818,0.39342,"medium","prickly_fermi_1"
"Gold Standard ",1,1,0,0,1.80939,1.96215,"high","adoring_lalande - Gold Standard_0"
"taxator-tk 1.3.0e",1,0.018,0,0.001,1.54643,1.96215,"high","fervent_sammet_1"
"MEGAN 6.4.9",0.12,0.257,0.007,0.009,9.06718,10.47938,"high","lonely_davinci_5"
"PhyloPythiaS+ ",0.506,0.843,0.021,0.015,1.65764,1.96215,"high","modest_babbage_3"
"Kraken 0.10.6-unreleased",0.167,0.781,0.009,0.016,1.64695,1.96215,"high","prickly_fermi_12"
