"tool","precision","recall","precision_er","recall_er","real_size","predicted_size","dataset","binner"
"Gold Standard ",0.86,0.625,0.058,0.078,0.01549,0.01549,"low","adoring_lalande - Gold Standard_3"
"taxator-tk 1.3.0e",0.763,0.078,0.04,0.012,0.04272,0.0054,"low","fervent_sammet_2"
"MEGAN 6.4.9",0.673,0.001,0.006,0,1021.51374,1.12566,"low","lonely_davinci_0"
"PhyloPythiaS+ ",0.743,0.215,0.043,0.036,0.0422,0.01499,"low","modest_babbage_5"
"Kraken 0.10.6-unreleased",0.864,0.021,0.01,0.003,0.45475,0.01553,"low","prickly_fermi_10"
"Gold Standard ",0.84,0.667,0.03,0.041,0.05599,0.05599,"medium","adoring_lalande - Gold Standard_1"
"taxator-tk 1.3.0e",0.809,0.035,0.024,0.004,0.09252,0.00493,"medium","fervent_sammet_11"
"MEGAN 6.4.9",0.716,0.005,0.008,0,97.28453,0.44475,"medium","lonely_davinci_7"
"PhyloPythiaS+ ",0.68,0.29,0.023,0.024,0.11848,0.05461,"medium","modest_babbage_2"
"Kraken 0.10.6-unreleased",0.841,0.059,0.011,0.005,0.58425,0.0561,"medium","prickly_fermi_1"
"Gold Standard ",0.832,0.507,0.018,0.02,0.27955,0.27955,"high","adoring_lalande - Gold Standard_0"
"taxator-tk 1.3.0e",0.771,0.011,0.026,0.001,0.28619,0.00495,"high","fervent_sammet_1"
"MEGAN 6.4.9",0.412,0.007,0.005,0,64.22663,1.20494,"high","lonely_davinci_1"
"PhyloPythiaS+ ",0.665,0.304,0.018,0.015,0.36435,0.27989,"high","modest_babbage_3"
"Kraken 0.10.6-unreleased",0.728,0.103,0.008,0.004,1.19556,0.28019,"high","prickly_fermi_2"
