"tool","precision","recall","precision_er","recall_er","real_size","predicted_size","dataset","binner"
"Gold Standard ",1,1,0,0,0.02376,0.02376,"low","adoring_lalande - Gold Standard_3"
"taxator-tk 1.3.0e",1,0.288,0,0.027,0.02376,0.02376,"low","fervent_sammet_2"
"MEGAN 6.4.9",0.954,0.471,0.045,0.026,1.60902,1.60902,"low","lonely_davinci_0"
"PhyloPythiaS+ ",0.964,0.9,0.036,0.029,0.02376,0.02376,"low","modest_babbage_5"
"Kraken 0.10.6-unreleased",0.778,0.807,0.082,0.071,0.02303,0.02376,"low","prickly_fermi_0"
"Gold Standard ",1,1,0,0,0.09997,0.09997,"medium","adoring_lalande - Gold Standard_1"
"taxator-tk 1.3.0e",0.996,0.083,0.003,0.007,0.08987,0.09997,"medium","fervent_sammet_0"
"MEGAN 6.4.9",0.916,0.483,0.032,0.016,0.97486,0.97662,"medium","lonely_davinci_6"
"PhyloPythiaS+ ",0.879,0.907,0.03,0.021,0.09593,0.09997,"medium","modest_babbage_1"
"Kraken 0.10.6-unreleased",0.768,0.946,0.037,0.013,0.09815,0.09997,"medium","prickly_fermi_1"
"Gold Standard ",1,1,0,0,0.12896,0.12896,"high","adoring_lalande - Gold Standard_0"
"taxator-tk 1.3.0e",1,0.01,0,0.001,0.11566,0.12896,"high","fervent_sammet_1"
"MEGAN 6.4.9",0.212,0.454,0.03,0.028,0.70908,0.70908,"high","lonely_davinci_2"
"PhyloPythiaS+ ",0.859,0.896,0.051,0.032,0.12634,0.12896,"high","modest_babbage_3"
"Kraken 0.10.6-unreleased",0.39,0.947,0.05,0.015,0.12412,0.12896,"high","prickly_fermi_12"
