"tool","precision","precision_sd","recall","recall_sd","accuracy","misclassification_rate","level"
"Gold Standard  ",100,0,100,0,100,0,"superkingdom"
"Gold Standard  ",100,0,100,0,100,0,"phylum"
"Gold Standard  ",100,0,100,0,100,0,"class"
"Gold Standard  ",100,0,100,0,100,0,"order"
"Gold Standard  ",100,0,100,0,100,0,"family"
"Gold Standard  ",100,0,100,0,100,0,"genus"
"Gold Standard  ",100,0,100,0,100,0,"species"
"Kraken 0.10.6-unreleased ",49.96,7.07,44.97,6.71,89.84,0.29,"superkingdom"
"Kraken 0.10.6-unreleased ",20.2,6.23,65.71,5.64,78.52,7.81,"phylum"
"Kraken 0.10.6-unreleased ",16.17,5.91,68.64,5.79,70.02,11.27,"class"
"Kraken 0.10.6-unreleased ",10.76,5.46,69.57,5.82,68.53,12.39,"order"
"Kraken 0.10.6-unreleased ",5.74,4.71,56.97,6.32,57.81,19.13,"family"
"Kraken 0.10.6-unreleased ",1.95,3.64,29.15,6.51,32.32,41.56,"genus"
"Kraken 0.10.6-unreleased ",0.51,2.67,14.69,5.67,18.3,50.22,"species"
"taxator-tk 1.3.0e",49.78,7.06,17.18,4.14,34.32,0.02,"superkingdom"
"taxator-tk 1.3.0e",64.66,6.79,22.76,3.43,29.38,1.32,"phylum"
"taxator-tk 1.3.0e",62.12,6.9,26.74,3.45,26.43,0.45,"class"
"taxator-tk 1.3.0e",50.95,7.01,24.7,3.42,24.39,0.46,"order"
"taxator-tk 1.3.0e",36.26,6.87,19.48,3.74,21.27,0.83,"family"
"taxator-tk 1.3.0e",24.36,6.54,9.26,3.76,9.9,2.57,"genus"
"taxator-tk 1.3.0e",23.81,6.53,3.15,3.05,2.37,0.43,"species"
"taxator-tk 1.4pre1e",49.76,7.05,17.32,4.16,34.6,0.04,"superkingdom"
"taxator-tk 1.4pre1e",63.7,6.75,24.27,3.56,31.55,2.2,"phylum"
"taxator-tk 1.4pre1e",61.07,6.84,27.92,3.58,27.87,0.83,"class"
"taxator-tk 1.4pre1e",50.6,6.98,25.58,3.52,25.81,0.66,"order"
"taxator-tk 1.4pre1e",36.15,6.86,19.76,3.77,21.88,0.89,"family"
"taxator-tk 1.4pre1e",24.25,6.53,9.32,3.77,10.05,2.63,"genus"
"taxator-tk 1.4pre1e",23.8,6.53,4.07,3.43,3.4,0.43,"species"
"MEGAN 6.4.9 ",9.05,5.22,40.61,5.79,74.04,0.08,"superkingdom"
"MEGAN 6.4.9 ",1.98,3.7,35.55,4.21,42.54,2.88,"phylum"
"MEGAN 6.4.9 ",1.78,3.59,39.05,3.96,36.83,4.12,"class"
"MEGAN 6.4.9 ",1.35,3.35,37.49,3.83,35.92,4.24,"order"
"MEGAN 6.4.9 ",1.04,3.14,26.87,4.23,28.36,6.87,"family"
"MEGAN 6.4.9 ",0.54,2.69,14.05,4.42,8.57,14.8,"genus"
"MEGAN 6.4.9 ",0.09,1.75,7.09,3.85,4.97,11.51,"species"
"PhyloPythiaS+  c100",99.67,0,48.34,6.95,96.56,0.11,"superkingdom"
"PhyloPythiaS+  c100",85.94,4.67,80.65,5.98,89.65,5.72,"phylum"
"PhyloPythiaS+  c100",90.16,4.34,85.62,5.2,88.57,5.74,"class"
"PhyloPythiaS+  c100",95.65,3.6,83.99,5.22,85.77,5.36,"order"
"PhyloPythiaS+  c100",74.59,6.38,71.34,5.95,77.73,8.24,"family"
"PhyloPythiaS+  c100",41.27,6.89,38.55,6.61,51.83,30.83,"genus"
"PhyloPythiaS+  c100",25.83,6.54,32.6,6.52,48.4,22.17,"species"
"PhyloPythiaS+ mg c100",99.89,0,22.11,4.7,44.16,0,"superkingdom"
"PhyloPythiaS+ mg c100",98.75,1.55,26.74,4.64,31.85,0.3,"phylum"
"PhyloPythiaS+ mg c100",99.45,1.35,26.46,4.91,29.81,0.21,"class"
"PhyloPythiaS+ mg c100",99.53,1.3,25.87,4.76,29.25,0.21,"order"
"PhyloPythiaS+ mg c100",75.29,6.54,16.19,3.65,20.03,0.63,"family"
"PhyloPythiaS+ mg c100",45.87,7.05,8.29,3.64,9.2,2.77,"genus"
"PhyloPythiaS+ mg c100",34.35,6.84,6.94,3.57,8.86,2.77,"species"
"Kraken 0.10.5 ",49.97,7.07,39.53,6.29,78.98,0.07,"superkingdom"
"Kraken 0.10.5 ",27.51,6.51,53.3,5.99,66.55,4.87,"phylum"
"Kraken 0.10.5 ",29.82,6.54,58.98,6.31,59.91,6.37,"class"
"Kraken 0.10.5 ",18.29,6.1,60.44,6.21,58.64,6.96,"order"
"Kraken 0.10.5 ",10.04,5.39,48.51,6.33,48.32,10.36,"family"
"Kraken 0.10.5 ",3.32,4.17,26.49,6.4,30.33,23.96,"genus"
"Kraken 0.10.5 ",0.9,3.07,14.8,5.68,18.53,30.43,"species"
