"tool","precision","precision_sd","recall","recall_sd","accuracy","misclassification_rate","level"
"Gold Standard  ",100,0,100,0,100,0,"superkingdom"
"Gold Standard  ",100,0,100,0,100,0,"phylum"
"Gold Standard  ",100,0,100,0,100,0,"class"
"Gold Standard  ",100,0,100,0,100,0,"order"
"Gold Standard  ",100,0,100,0,100,0,"family"
"Gold Standard  ",100,0,100,0,100,0,"genus"
"Gold Standard  ",100,0,100,0,100,0,"species"
"Kraken 0.10.6-unreleased ",99.87,0,64.93,6.51,93.03,0.28,"superkingdom"
"Kraken 0.10.6-unreleased ",99.48,0.6,89.96,3.37,91.66,0.75,"phylum"
"Kraken 0.10.6-unreleased ",95.75,2.36,83.79,4.73,90.55,1.33,"class"
"Kraken 0.10.6-unreleased ",96.58,2.2,84.91,4.96,89.89,1.72,"order"
"Kraken 0.10.6-unreleased ",76.21,6.11,77.26,5.73,80.87,9.9,"family"
"Kraken 0.10.6-unreleased ",27.22,6.59,61.72,6.7,68.41,20.33,"genus"
"Kraken 0.10.6-unreleased ",5.27,4.69,36.13,6.8,36.81,48.35,"species"
"taxator-tk 1.3.0e",99.95,0.22,6.08,2.08,8.74,0,"superkingdom"
"taxator-tk 1.3.0e",99.99,0.1,7.24,1.84,8.55,0,"phylum"
"taxator-tk 1.3.0e",99.63,0.7,8.54,2.92,8.07,0.01,"class"
"taxator-tk 1.3.0e",99.75,0.63,7.81,2.66,7.77,0.02,"order"
"taxator-tk 1.3.0e",92.24,4.82,6.38,2.22,6.57,0.27,"family"
"taxator-tk 1.3.0e",71.81,6.58,3.28,2.02,3.64,0.78,"genus"
"taxator-tk 1.3.0e",70,6.77,1.25,1.78,1.15,0.24,"species"
"taxator-tk 1.4pre1e",99.94,0.24,6.1,2.08,8.78,0,"superkingdom"
"taxator-tk 1.4pre1e",99.67,0.56,7.41,1.85,8.75,0.03,"phylum"
"taxator-tk 1.4pre1e",99.13,1.1,8.67,2.92,8.36,0.05,"class"
"taxator-tk 1.4pre1e",99.67,0.66,7.92,2.66,8.17,0.04,"order"
"taxator-tk 1.4pre1e",92.12,4.82,6.42,2.22,6.71,0.3,"family"
"taxator-tk 1.4pre1e",71.81,6.58,3.28,2.02,3.64,0.78,"genus"
"taxator-tk 1.4pre1e",70,6.77,1.25,1.78,1.15,0.24,"species"
"MEGAN 6.4.9 ",99.45,0,71.84,5.56,90.55,0.12,"superkingdom"
"MEGAN 6.4.9 ",98.02,1.28,59.51,1.31,60.47,0.29,"phylum"
"MEGAN 6.4.9 ",93.32,3.06,52.97,3.63,56.97,0.84,"class"
"MEGAN 6.4.9 ",81.55,5.82,50.58,3.59,53.12,1.31,"order"
"MEGAN 6.4.9 ",55.92,6.61,41.81,4.31,41.94,4.64,"family"
"MEGAN 6.4.9 ",15.87,5.92,29.11,4.64,27.24,6.93,"genus"
"MEGAN 6.4.9 ",1.76,3.6,14.48,4.47,14.65,9.97,"species"
"MEGAN 6.4.9 ",99.51,0.32,68.11,5.96,89.86,0.12,"superkingdom"
"MEGAN 6.4.9 ",98.69,1.04,59.13,1.19,59.08,0.43,"phylum"
"MEGAN 6.4.9 ",86.05,5.3,52.2,3.6,56.56,0.89,"class"
"MEGAN 6.4.9 ",86.37,5.26,50.32,3.63,53.67,1.3,"order"
"MEGAN 6.4.9 ",54.93,6.71,41.62,4.29,44.89,3.04,"family"
"MEGAN 6.4.9 ",13.77,5.78,28.11,4.58,35.28,4.73,"genus"
"MEGAN 6.4.9 ",1.56,3.49,14.36,4.45,20.19,9.59,"species"
"MEGAN 6.4.9 ",99.47,0,67.67,5.48,84.35,0.15,"superkingdom"
"MEGAN 6.4.9 ",97.78,1.35,52.12,1.39,52.05,0.35,"phylum"
"MEGAN 6.4.9 ",91.91,3.36,47.2,3.44,49.63,0.98,"class"
"MEGAN 6.4.9 ",73.66,6.06,45,3.42,46.81,1.54,"order"
"MEGAN 6.4.9 ",45.3,6.64,37.3,4.07,37.84,4.84,"family"
"MEGAN 6.4.9 ",11.3,5.5,25.91,4.4,24.23,7.02,"genus"
"MEGAN 6.4.9 ",1.27,3.31,12.43,4.18,12.65,9.35,"species"
"MEGAN 6.4.9 ",99.44,0.14,64.33,5.81,83.63,0.13,"superkingdom"
"MEGAN 6.4.9 ",98.64,1.01,52.18,1.43,50.88,0.47,"phylum"
"MEGAN 6.4.9 ",92.9,3.5,46.28,3.45,49.14,0.95,"class"
"MEGAN 6.4.9 ",84.24,5.22,44.28,3.46,47.06,1.43,"order"
"MEGAN 6.4.9 ",41.93,6.72,37.06,4.06,40.26,3.33,"family"
"MEGAN 6.4.9 ",9.79,5.36,24.97,4.36,31.72,5,"genus"
"MEGAN 6.4.9 ",1.12,3.21,12.39,4.18,17.78,9.23,"species"
"PhyloPythiaS+  c400",98.92,0,45.61,6.3,95.95,1.23,"superkingdom"
"PhyloPythiaS+  c400",98.69,0.93,86.15,4.73,95.12,1.13,"phylum"
"PhyloPythiaS+  c400",92.32,3.53,81.97,5.48,92.43,2.65,"class"
"PhyloPythiaS+  c400",91.82,4.57,81.67,5.66,90.4,3.17,"order"
"PhyloPythiaS+  c400",88.67,5.27,74.63,5.94,80.36,8.53,"family"
"PhyloPythiaS+  c400",64.58,6.77,53.32,6.74,59.2,16.85,"genus"
"PhyloPythiaS+  c400",29.97,6.64,30.42,6.57,28.93,44.2,"species"
"PhyloPythiaS+  c200",98.92,0,45.6,6.3,95.94,1.23,"superkingdom"
"PhyloPythiaS+  c200",98.69,0.93,86.15,4.73,95.12,1.13,"phylum"
"PhyloPythiaS+  c200",92.32,3.53,81.97,5.48,92.43,2.65,"class"
"PhyloPythiaS+  c200",91.82,4.57,81.67,5.66,90.4,3.17,"order"
"PhyloPythiaS+  c200",88.67,5.27,74.63,5.94,80.36,8.53,"family"
"PhyloPythiaS+  c200",64.58,6.77,53.32,6.74,59.2,16.85,"genus"
"PhyloPythiaS+  c200",29.97,6.64,30.42,6.57,28.93,44.2,"species"
"PhyloPythiaS+ mg c200",100,0,14.88,4.49,42.81,0,"superkingdom"
"PhyloPythiaS+ mg c200",99.05,1.28,37.74,4.86,36.83,0.44,"phylum"
"PhyloPythiaS+ mg c200",99.62,1.07,30.48,4.6,35.85,0.47,"class"
"PhyloPythiaS+ mg c200",99.83,0.89,30.77,4.35,35.22,0.5,"order"
"PhyloPythiaS+ mg c200",89.01,5.41,24.61,4.36,26.47,2.4,"family"
