"tool","precision","recall","precision_er","recall_er","real_size","predicted_size","dataset","binner"
"Gold Standard ",0.25,0.222,0.035,0.101,0.00596,0.00596,"low","adoring_lalande - Gold Standard_3"
"taxator-tk 1.3.0e",0.428,0.053,0.044,0.024,0.00866,0.00139,"low","fervent_sammet_2"
"MEGAN 6.4.9",0.446,0.001,0.006,0,144.73608,0.19959,"low","lonely_davinci_0"
"PhyloPythiaS+ ",0.32,0.111,0.06,0.049,0.00628,0.00237,"low","modest_babbage_6"
"Kraken 0.10.6-unreleased",0.561,0.038,0.036,0.01,0.03749,0.00537,"low","prickly_fermi_10"
"Gold Standard ",0.416,0.315,0.03,0.064,0.02237,0.01926,"medium","adoring_lalande - Gold Standard_1"
"taxator-tk 1.3.0e",0.734,0.043,0.043,0.008,0.02681,0.00198,"medium","fervent_sammet_11"
"MEGAN 6.4.9",0.609,0.003,0.013,0.001,74.18992,0.3391,"medium","lonely_davinci_6"
"PhyloPythiaS+ ",0.468,0.254,0.029,0.044,0.03204,0.0214,"medium","modest_babbage_1"
"Kraken 0.10.6-unreleased",0.651,0.115,0.023,0.017,0.08671,0.02352,"medium","prickly_fermi_11"
"Gold Standard ",0.367,0.179,0.034,0.025,0.116,0.07872,"high","adoring_lalande - Gold Standard_0"
"taxator-tk 1.3.0e",0.682,0.009,0.049,0.002,0.11659,0.00205,"high","fervent_sammet_1"
"MEGAN 6.4.9",0.269,0.006,0.007,0.001,13.51438,0.25004,"high","lonely_davinci_1"
"PhyloPythiaS+ ",0.394,0.079,0.027,0.01,0.1247,0.06609,"high","modest_babbage_0"
"Kraken 0.10.6-unreleased",0.491,0.077,0.014,0.007,0.33251,0.10007,"high","prickly_fermi_2"
