"tool","precision","precision_sd","recall","recall_sd","accuracy","misclassification_rate","level"
"Gold Standard  ",100,0,100,0,100,0,"superkingdom"
"Gold Standard  ",100,0,100,0,100,0,"phylum"
"Gold Standard  ",100,0,100,0,100,0,"class"
"Gold Standard  ",100,0,100,0,100,0,"order"
"Gold Standard  ",100,0,100,0,100,0,"family"
"Gold Standard  ",100,0,100,0,100,0,"genus"
"Gold Standard  ",100,0,100,0,100,0,"species"
"Kraken 0.10.6-unreleased ",74.48,6.56,64.93,6.51,93.03,0.28,"superkingdom"
"Kraken 0.10.6-unreleased ",13.89,5.87,89.96,3.37,91.66,0.75,"phylum"
"Kraken 0.10.6-unreleased ",17.96,6.12,83.79,4.73,90.55,1.33,"class"
"Kraken 0.10.6-unreleased ",19.02,6.2,84.91,4.96,89.89,1.72,"order"
"Kraken 0.10.6-unreleased ",15.89,5.94,77.26,5.73,80.87,9.9,"family"
"Kraken 0.10.6-unreleased ",6.39,4.9,61.72,6.7,68.41,20.33,"genus"
"Kraken 0.10.6-unreleased ",1.58,3.5,36.13,6.8,36.81,48.35,"species"
"taxator-tk 1.3.0e",66.63,6.86,6.08,2.08,8.74,0,"superkingdom"
"taxator-tk 1.3.0e",71.42,6.72,7.24,1.84,8.55,0,"phylum"
"taxator-tk 1.3.0e",93.04,4.99,8.54,2.92,8.07,0.01,"class"
"taxator-tk 1.3.0e",87.26,5.74,7.81,2.66,7.77,0.02,"order"
"taxator-tk 1.3.0e",76.2,6.41,6.38,2.22,6.57,0.27,"family"
"taxator-tk 1.3.0e",56.21,6.97,3.28,2.02,3.64,0.78,"genus"
"taxator-tk 1.3.0e",42.5,7.03,1.25,1.78,1.15,0.24,"species"
"taxator-tk 1.4pre1e",66.62,6.86,6.1,2.08,8.78,0,"superkingdom"
"taxator-tk 1.4pre1e",71.19,6.71,7.41,1.85,8.75,0.03,"phylum"
"taxator-tk 1.4pre1e",92.63,4.98,8.67,2.92,8.36,0.05,"class"
"taxator-tk 1.4pre1e",87.2,5.74,7.92,2.66,8.17,0.04,"order"
"taxator-tk 1.4pre1e",76.12,6.41,6.42,2.22,6.71,0.3,"family"
"taxator-tk 1.4pre1e",56.21,6.97,3.28,2.02,3.64,0.78,"genus"
"taxator-tk 1.4pre1e",42.5,7.03,1.25,1.78,1.15,0.24,"species"
"MEGAN 6.4.9 ",27.39,6.48,71.84,5.56,90.55,0.12,"superkingdom"
"MEGAN 6.4.9 ",3.49,4.24,59.51,1.31,60.47,0.29,"phylum"
"MEGAN 6.4.9 ",4.11,4.35,52.97,3.63,56.97,0.84,"class"
"MEGAN 6.4.9 ",4.36,4.41,50.58,3.59,53.12,1.31,"order"
"MEGAN 6.4.9 ",4.6,4.43,41.81,4.31,41.94,4.64,"family"
"MEGAN 6.4.9 ",2.46,3.87,29.11,4.64,27.24,6.93,"genus"
"MEGAN 6.4.9 ",0.57,2.72,14.48,4.47,14.65,9.97,"species"
"MEGAN 6.4.9 ",28.91,6.65,68.11,5.96,89.86,0.12,"superkingdom"
"MEGAN 6.4.9 ",3.35,4.23,59.13,1.19,59.08,0.43,"phylum"
"MEGAN 6.4.9 ",3.91,4.33,52.2,3.6,56.56,0.89,"class"
"MEGAN 6.4.9 ",4.4,4.45,50.32,3.63,53.67,1.3,"order"
"MEGAN 6.4.9 ",4.52,4.45,41.62,4.29,44.89,3.04,"family"
"MEGAN 6.4.9 ",2.4,3.86,28.11,4.58,35.28,4.73,"genus"
"MEGAN 6.4.9 ",0.52,2.66,14.36,4.45,20.19,9.59,"species"
"MEGAN 6.4.9 ",11.61,5.49,67.67,5.48,84.35,0.15,"superkingdom"
"MEGAN 6.4.9 ",2.12,3.75,52.12,1.39,52.05,0.35,"phylum"
"MEGAN 6.4.9 ",2.61,3.89,47.2,3.44,49.63,0.98,"class"
"MEGAN 6.4.9 ",2.87,3.98,45,3.42,46.81,1.54,"order"
"MEGAN 6.4.9 ",3.28,4.07,37.3,4.07,37.84,4.84,"family"
"MEGAN 6.4.9 ",1.94,3.63,25.91,4.4,24.23,7.02,"genus"
"MEGAN 6.4.9 ",0.46,2.58,12.43,4.18,12.65,9.35,"species"
"MEGAN 6.4.9 ",17.92,6.11,64.33,5.81,83.63,0.13,"superkingdom"
"MEGAN 6.4.9 ",2.12,3.78,52.18,1.43,50.88,0.47,"phylum"
"MEGAN 6.4.9 ",2.57,3.91,46.28,3.45,49.14,0.95,"class"
"MEGAN 6.4.9 ",3.03,4.06,44.28,3.46,47.06,1.43,"order"
"MEGAN 6.4.9 ",3.28,4.11,37.06,4.06,40.26,3.33,"family"
"MEGAN 6.4.9 ",1.91,3.63,24.97,4.36,31.72,5,"genus"
"MEGAN 6.4.9 ",0.43,2.53,12.39,4.18,17.78,9.23,"species"
"PhyloPythiaS+  c400",75.11,4.88,45.61,6.3,95.95,1.23,"superkingdom"
"PhyloPythiaS+  c400",73.96,6.54,86.15,4.73,95.12,1.13,"phylum"
"PhyloPythiaS+  c400",81.63,5.72,81.97,5.48,92.43,2.65,"class"
"PhyloPythiaS+  c400",83.7,5.7,81.67,5.66,90.4,3.17,"order"
"PhyloPythiaS+  c400",78.28,6.18,74.63,5.94,80.36,8.53,"family"
"PhyloPythiaS+  c400",56.92,6.93,53.32,6.74,59.2,16.85,"genus"
"PhyloPythiaS+  c400",25.94,6.52,30.42,6.57,28.93,44.2,"species"
"PhyloPythiaS+  c200",75.11,4.88,45.6,6.3,95.94,1.23,"superkingdom"
"PhyloPythiaS+  c200",73.96,6.54,86.15,4.73,95.12,1.13,"phylum"
"PhyloPythiaS+  c200",81.63,5.72,81.97,5.48,92.43,2.65,"class"
"PhyloPythiaS+  c200",83.7,5.7,81.67,5.66,90.4,3.17,"order"
"PhyloPythiaS+  c200",78.28,6.18,74.63,5.94,80.36,8.53,"family"
"PhyloPythiaS+  c200",56.92,6.93,53.32,6.74,59.2,16.85,"genus"
"PhyloPythiaS+  c200",25.94,6.52,30.42,6.57,28.93,44.2,"species"
"PhyloPythiaS+ mg c200",94.05,2.44,14.88,4.49,42.81,0,"superkingdom"
"PhyloPythiaS+ mg c200",74.52,6.56,37.74,4.86,36.83,0.44,"phylum"
"PhyloPythiaS+ mg c200",87.26,5.74,30.48,4.6,35.85,0.47,"class"
"PhyloPythiaS+ mg c200",89.87,5.47,30.77,4.35,35.22,0.5,"order"
