"tool","precision","recall","precision_er","recall_er","real_size","predicted_size","dataset","binner"
"Gold Standard ",1,1,0,0,0.03702,0.04174,"low","adoring_lalande - Gold Standard_3"
"taxator-tk 1.3.0e",0.704,0.216,0.107,0.027,0.02944,0.04174,"low","fervent_sammet_12"
"MEGAN 6.4.9",0.037,0.338,0.009,0.057,2.43786,3.24983,"low","lonely_davinci_0"
"PhyloPythiaS+ ",0.626,0.851,0.097,0.073,0.03335,0.04174,"low","modest_babbage_5"
"Kraken 0.10.6-unreleased",0.295,0.631,0.065,0.11,0.02944,0.04174,"low","prickly_fermi_0"
"Gold Standard ",1,1,0,0,0.141,0.1566,"medium","adoring_lalande - Gold Standard_1"
"taxator-tk 1.3.0e",0.911,0.064,0.049,0.006,0.12362,0.1566,"medium","fervent_sammet_0"
"MEGAN 6.4.9",0.264,0.475,0.03,0.024,1.15327,1.29616,"medium","lonely_davinci_7"
"PhyloPythiaS+ ",0.617,0.826,0.055,0.042,0.12678,0.1566,"medium","modest_babbage_1"
"Kraken 0.10.6-unreleased",0.397,0.957,0.041,0.017,0.12624,0.1566,"medium","prickly_fermi_11"
"Gold Standard ",1,1,0,0,0.74027,0.81202,"high","adoring_lalande - Gold Standard_0"
"taxator-tk 1.3.0e",1,0.015,0,0.001,0.66694,0.81202,"high","fervent_sammet_1"
"MEGAN 6.4.9",0.099,0.35,0.009,0.019,3.63748,4.10207,"high","lonely_davinci_2"
"PhyloPythiaS+ ",0.594,0.896,0.038,0.022,0.7002,0.81202,"high","modest_babbage_3"
"Kraken 0.10.6-unreleased",0.229,0.873,0.02,0.025,0.6959,0.81202,"high","prickly_fermi_12"
