"tool","precision","recall","precision_er","recall_er","real_size","predicted_size","dataset","binner"
"Gold Standard ",1,1,0,0,0.01769,0.01938,"low","adoring_lalande - Gold Standard_3"
"taxator-tk 1.3.0e",0.997,0.302,0.001,0.026,0.01626,0.01938,"low","fervent_sammet_2"
"MEGAN 6.4.9",0.048,0.335,0.011,0.043,2.33108,2.52171,"low","lonely_davinci_0"
"PhyloPythiaS+ ",0.618,0.733,0.086,0.069,0.01626,0.01938,"low","modest_babbage_5"
"Kraken 0.10.6-unreleased",0.069,0.695,0.015,0.071,0.01661,0.01938,"low","prickly_fermi_10"
"Gold Standard ",1,1,0,0,0.12134,0.1289,"medium","adoring_lalande - Gold Standard_1"
"taxator-tk 1.3.0e",1,0.059,0,0.004,0.10825,0.1289,"medium","fervent_sammet_11"
"MEGAN 6.4.9",0.157,0.433,0.019,0.019,0.70014,0.81631,"medium","lonely_davinci_6"
"PhyloPythiaS+ ",0.647,0.789,0.047,0.038,0.10933,0.1289,"medium","modest_babbage_1"
"Kraken 0.10.6-unreleased",0.363,0.756,0.034,0.033,0.11049,0.1289,"medium","prickly_fermi_1"
"Gold Standard ",1,1,0,0,1.23987,1.35048,"high","adoring_lalande - Gold Standard_0"
"taxator-tk 1.3.0e",1,0.019,0,0.002,1.09015,1.35048,"high","fervent_sammet_10"
"MEGAN 6.4.9",0.128,0.29,0.008,0.01,6.21862,7.13611,"high","lonely_davinci_1"
"PhyloPythiaS+ ",0.537,0.879,0.025,0.015,1.15628,1.35048,"high","modest_babbage_3"
"Kraken 0.10.6-unreleased",0.217,0.808,0.013,0.017,1.1539,1.35048,"high","prickly_fermi_12"
