"tool","precision","recall","precision_er","recall_er","real_size","predicted_size","dataset","binner"
"Gold Standard ",1,1,0,0,0.06366,0.06672,"low","adoring_lalande - Gold Standard_3"
"taxator-tk 1.3.0e",0.914,0.269,0.039,0.018,0.05245,0.06672,"low","fervent_sammet_2"
"MEGAN 6.4.9",0.058,0.313,0.008,0.024,6.26222,7.1328,"low","lonely_davinci_0"
"PhyloPythiaS+ ",0.703,0.83,0.05,0.034,0.05632,0.06672,"low","modest_babbage_5"
"Kraken 0.10.6-unreleased",0.086,0.703,0.012,0.044,0.05248,0.06672,"low","prickly_fermi_10"
"Gold Standard ",1,1,0,0,0.22418,0.23532,"medium","adoring_lalande - Gold Standard_1"
"taxator-tk 1.3.0e",0.906,0.074,0.033,0.006,0.19331,0.23532,"medium","fervent_sammet_11"
"MEGAN 6.4.9",0.214,0.419,0.017,0.015,1.11475,1.29273,"medium","lonely_davinci_6"
"PhyloPythiaS+ ",0.668,0.821,0.032,0.024,0.20178,0.23532,"medium","modest_babbage_1"
"Kraken 0.10.6-unreleased",0.292,0.772,0.021,0.023,0.20187,0.23532,"medium","prickly_fermi_1"
"Gold Standard ",1,1,0,0,1.06913,1.14481,"high","adoring_lalande - Gold Standard_0"
"taxator-tk 1.3.0e",1,0.02,0,0.002,0.86354,1.14481,"high","fervent_sammet_10"
"MEGAN 6.4.9",0.109,0.256,0.006,0.01,5.65782,6.50523,"high","lonely_davinci_1"
"PhyloPythiaS+ ",0.509,0.841,0.022,0.016,0.95664,1.14481,"high","modest_babbage_3"
"Kraken 0.10.6-unreleased",0.161,0.776,0.009,0.017,0.94819,1.14481,"high","prickly_fermi_12"
