@SampleID:medium_270_2
@Version:0.9.1
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
2157	superkingdom	2157	Archaea	188245200.0
10239	superkingdom	10239	Viruses	32814600.0
2	superkingdom	2	Bacteria	7202515200.0
976	phylum	2|976	Bacteria|Bacteroidetes	421601550.0
1224	phylum	2|1224	Bacteria|Proteobacteria	2996518650.0
544448	phylum	2|544448	Bacteria|Tenericutes	17072400.0
1239	phylum	2|1239	Bacteria|Firmicutes	1363779000.0
201174	phylum	2|201174	Bacteria|Actinobacteria	2403543600.0
28890	phylum	2157|28890	Archaea|Euryarchaeota	188245200.0
183967	class	2157|28890|183967	Archaea|Euryarchaeota|Thermoplasmata	64678500.0
186801	class	2|1239|186801	Bacteria|Firmicutes|Clostridia	1243380600.0
768503	class	2|976|768503	Bacteria|Bacteroidetes|Cytophagia	24290100.0
183963	class	2157|28890|183963	Archaea|Euryarchaeota|Halobacteria	123566700.0
909932	class	2|1239|909932	Bacteria|Firmicutes|Negativicutes	26141700.0
1236	class	2|1224|1236	Bacteria|Proteobacteria|Gammaproteobacteria	783173400.0
91061	class	2|1239|91061	Bacteria|Firmicutes|Bacilli	94256700.0
31969	class	2|544448|31969	Bacteria|Tenericutes|Mollicutes	17072400.0
28221	class	2|1224|28221	Bacteria|Proteobacteria|Deltaproteobacteria	721071300.0
200643	class	2|976|200643	Bacteria|Bacteroidetes|Bacteroidia	12751050.0
28216	class	2|1224|28216	Bacteria|Proteobacteria|Betaproteobacteria	418377300.0
117747	class	2|976|117747	Bacteria|Bacteroidetes|Sphingobacteriia	65068950.0
1760	class	2|201174|1760	Bacteria|Actinobacteria|Actinobacteria	2403543600.0
117743	class	2|976|117743	Bacteria|Bacteroidetes|Flavobacteriia	319491450.0
28211	class	2|1224|28211	Bacteria|Proteobacteria|Alphaproteobacteria	1073896650.0
200666	order	2|976|117747|200666	Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales	65068950.0
72274	order	2|1224|1236|72274	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	161207400.0
84993	order	2|201174|1760|84993	Bacteria|Actinobacteria|Actinobacteria|Acidimicrobiales	14592600.0
135623	order	2|1224|1236|135623	Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales	20328150.0
135622	order	2|1224|1236|135622	Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales	364587900.0
68295	order	2|1239|186801|68295	Bacteria|Firmicutes|Clostridia|Thermoanaerobacterales	844646700.0
80840	order	2|1224|28216|80840	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	361909950.0
