binner	rank	precision	recall	predicted_size	real_size
modest_babbage_1	superkingdom	1.00	0.96	176774321	184142109
modest_babbage_1	superkingdom	0.00	nan	25051	0
modest_babbage_1	phylum	1.00	0.94	73100427	77452463
modest_babbage_1	phylum	1.00	1.00	66235054	66462026
modest_babbage_1	phylum	0.99	0.97	20188025	20719094
modest_babbage_1	phylum	0.99	0.75	13570701	17908512
modest_babbage_1	phylum	1.00	1.00	1598932	1600014
modest_babbage_1	phylum	0.00	nan	124752	0
modest_babbage_1	class	1.00	1.00	66235054	66462026
modest_babbage_1	class	1.00	1.00	37768166	37777374
modest_babbage_1	class	0.99	0.88	24733062	27729470
modest_babbage_1	class	1.00	0.88	12620051	14234544
modest_babbage_1	class	0.97	0.96	7757961	7863125
modest_babbage_1	class	0.99	0.97	6408025	6484550
modest_babbage_1	class	1.00	0.77	5372176	6964620
modest_babbage_1	class	1.00	0.51	5143566	10045387
modest_babbage_1	class	0.98	1.00	5072247	4980999
modest_babbage_1	class	1.00	1.00	1598932	1600014
modest_babbage_1	class	0.00	nan	133072	0
modest_babbage_1	class	0.00	nan	77975	0
modest_babbage_1	class	0.00	nan	64247	0
modest_babbage_1	order	1.00	0.99	66046723	66462026
modest_babbage_1	order	1.00	1.00	28842319	28873267
modest_babbage_1	order	1.00	1.00	19554836	19604434
modest_babbage_1	order	1.00	0.88	12620051	14234544
modest_babbage_1	order	1.00	0.99	8846040	8904107
modest_babbage_1	order	0.98	0.94	7570299	7863125
modest_babbage_1	order	0.99	0.97	6332144	6484550
modest_babbage_1	order	1.00	0.50	5071916	10045387
modest_babbage_1	order	1.00	1.00	4958478	4980999
modest_babbage_1	order	1.00	0.55	3798443	6964620
modest_babbage_1	order	1.00	1.00	3296363	3301850
modest_babbage_1	order	1.00	1.00	1597924	1600014
modest_babbage_1	order	0.93	0.26	1344060	4823186
modest_babbage_1	order	0.00	nan	189293	0
modest_babbage_1	order	0.00	nan	165309	0
modest_babbage_1	order	0.00	nan	133072	0
modest_babbage_1	order	0.00	nan	77975	0
modest_babbage_1	order	0.00	nan	64247	0
modest_babbage_1	order	0.00	nan	54712	0
modest_babbage_1	order	0.00	nan	45205	0
modest_babbage_1	order	0.00	nan	25431	0
modest_babbage_1	order	0.00	nan	10643	0
modest_babbage_1	order	0.00	nan	9012	0
modest_babbage_1	order	0.00	nan	7571	0
modest_babbage_1	order	0.00	nan	6216	0
modest_babbage_1	family	1.00	0.95	27516592	28873267
modest_babbage_1	family	0.86	0.96	24740939	22124132
modest_babbage_1	family	1.00	0.99	19323587	19604434
modest_babbage_1	family	1.00	1.00	12959883	13003876
modest_babbage_1	family	1.00	0.87	12472777	14234544
modest_babbage_1	family	1.00	0.99	8816623	8904107
modest_babbage_1	family	0.98	0.99	6766105	6676999
modest_babbage_1	family	0.98	0.62	6662034	10494171
modest_babbage_1	family	0.99	0.97	6314800	6484550
modest_babbage_1	family	1.00	1.00	4958478	4980999
