"Assembly"	"X..contigs.....1000.bp."	"X..contigs.....5000.bp."	"X..contigs.....10000.bp."	"X..contigs.....25000.bp."	"X..contigs.....50000.bp."	"Total.length.....1000.bp."	"Total.length.....5000.bp."	"Total.length.....10000.bp."	"Total.length.....25000.bp."	"Total.length.....50000.bp."	"X..contigs"	"Largest.contig"	"Total.length"	"Reference.length"	"GC...."	"Reference.GC...."	"N50"	"NG50"	"N75"	"NG75"	"L50"	"LG50"	"L75"	"LG75"	"X..misassemblies"	"X..misassembled.contigs"	"Misassembled.contigs.length"	"X..local.misassemblies"	"X..unaligned.contigs"	"Unaligned.length"	"Genome.fraction...."	"Duplication.ratio"	"X..N.s.per.100.kbp"	"X..mismatches.per.100.kbp"	"X..indels.per.100.kbp"	"X..genes"	"X..predicted.genes..unique."	"X..predicted.genes.....0.bp."	"X..predicted.genes.....300.bp."	"X..predicted.genes.....1500.bp."	"X..predicted.genes.....3000.bp."	"Largest.alignment"	"NA50"	"NGA50"	"NA75"	"NGA75"	"LA50"	"LGA50"	"LA75"	"LGA75"	"gid"	"label"	"refLength"	"refMapping"	"abundance"	"gc"	"group"	"refGenes"	"assemblerGroup"	"normalized.misassemblies.per.MB"	"normalized.mismatches.per.100.kbp"	"cov"	"genomeFractionNormalized"
"fervent_blackwell_0 broken"	557	349	234	72	8	6530248	6033635	5210550	2536103	473490	653	70953	6601037	6680272	67.22	67.17	20850	"20572"	11703	"11353"	106	"108"	211	"216"	6	5	62338	19	"0 + 2 part"	554	98.714	1.001	6.44	13.95	5.61	"12556 + 1325 part"	"7006"	"7007"	"6165"	"700"	"49"	70953	"19577"	19517	"10675"	"10327"	"112"	"114"	"225"	"231"	"1021_AP"	"Mycobacterium"	6680272	614860	9.77445	67.17	"uniq"	" 6474"	"4"	0.908948094064614	2.11330431870023e-06	13.8061743593674	0.00149225938683002
"fervent_blackwell_0 broken"	295	22	8	2	1	783751	313578	215678	98551	56662	1167	56662	1358448	5681617	64.2	64.71	1242	NA	706	NA	201	NA	582	NA	4	4	81399	3	"0 + 0 part"	0	23.735	1.008	0.07	8.31	0.07	"1328 + 2919 part"	"2139"	"2139"	"1516"	"68"	"5"	43478	"1238"	0	"705"	NA	"204"	NA	"586"	NA	"1021_AQ"	"Comamonadaceae"	5681617	1978284	37.3825	64.72	"strain"	" 5173"	"4"	2.94453670659458	6.11727500795025e-06	52.2285469083889	4.82733697514996e-05
"fervent_blackwell_0 broken"	1459	76	9	2	0	3147789	599787	153153	60589	0	3384	33664	4474736	5575767	64.68	64.8	1607	"1211"	893	"575"	737	"1132"	1680	"2836"	0	0	0	0	"0 + 1 part"	3093	78.838	1.017	0	1.52	0	"4648 + 6825 part"	"6595"	"6596"	"5047"	"221"	"13"	33664	"1604"	1210	"891"	"574"	"738"	"1133"	"1682"	"2841"	"1021_AS"	"Comamonadaceae"	5575767	7649724	151.707	64.8	"strain"	" 5019"	"4"	0	3.39684843977388e-07	205.793857598425	0.000183671106501182
"fervent_blackwell_0 broken"	69	59	52	38	16	2800367	2778464	2732397	2463672	1655028	76	199038	2805770	9222264	71.3	71.49	82219	NA	35185	NA	12	NA	27	NA	3	3	57956	2	"0 + 1 part"	577	30.411	1	0	1.5	0.11	"5879 + 221 part"	"2581"	"2581"	"2280"	"367"	"32"	199038	"82219"	0	"35185"	NA	"12"	NA	"27"	NA	"1021_C"	"Streptomycetaceae"	9222264	7740022	94.4368	71.49	"strain"	" 8114"	"4"	1.0692252037765	5.34612601888252e-07	125.891353793385	0.00121688015921053
"fervent_blackwell_0 broken"	103	28	14	4	0	529378	390628	289684	135341	0	307	39662	660937	4398457	70.85	72.5	8562	NA	1356	NA	19	NA	74	NA	1	1	3336	0	"0 + 0 part"	0	14.977	1.003	0	5.77	0	"1024 + 850 part"	"840"	"841"	"653"	"55"	"10"	39662	"8562"	0	"1337"	NA	"19"	NA	"75"	NA	"1021_P"	"Cellulomonas"	4398457	2131212	55.4309	72.51	"strain"	" 4102"	"4"	1.51300350865514	8.73003024494014e-06	72.6804422550908	7.30653188925081e-05
"fervent_blackwell_0 broken"	0	0	0	0	0	0	0	0	0	0	12	801	7073	2161335	30.93	30.36	561	NA	515	NA	6	NA	9	NA	1	1	513	0	"0 + 0 part"	0	0.327	1	0	169.73	0	"6 + 38 part"	"15"	"15"	"10"	"0"	"0"	801	"561"	0	"515"	NA	"6"	NA	"9"	NA	"1030716"	"Garciella nitratireducens DSM 15102"	2161335	30992	1.43328	30.36	"uniq"	" 2117"	"4"	141.382723031246	0.0239968895800933	2.15089285094629	8.91075e-07
"fervent_blackwell_0 broken"	96	11	4	1	0	302837	129845	87127	29307	0	307	29307	437503	2576980	49.49	49.1	2125	NA	786	NA	39	NA	125	NA	3	3	6569	0	"0 + 0 part"	0	16.951	1.002	0	19	0.23	"291 + 361 part"	"690"	"690"	"518"	"23"	"1"	29307	"2105"	0	"782"	NA	"40"	NA	"127"	NA	"1030728"	"Carboxydocella sporoproducens DSM 16521"	2576980	1429940	63.491	49.1	"strain"	" 2699"	"4"	6.85709583705712	4.34282736346951e-05	83.2334748426453	9.35949188925081e-05
"fervent_blackwell_0 broken"	78	42	36	30	23	3624809	3541306	3499177	3375358	3114594	90	294878	3633699	3663781	43.72	43.72	137257	"137257"	68818	"68818"	9	"9"	17	"17"	4	3	310130	0	"0 + 0 part"	0	99.128	1.001	0.5	1.51	0.74	"7938 + 214 part"	"3269"	"3269"	"2956"	"520"	"44"	293868	"131424"	131424	"63816"	"63816"	"9"	"9"	"19"	"19"	"1030737"	"Vibrio cincinnatiensis DSM 19608"	3663781	477938	14.9803	43.72	"uniq"	" 3299"	"4"	1.10080664358826	4.15554507954566e-07	19.56740864151	0.0109181782044444
"fervent_blackwell_0 broken"	247	180	116	28	6	3145814	2963126	2486496	1102187	380009	268	96755	3160257	3261014	52.13	52.15	18123	"18064"	11067	"10323"	51	"53"	106	"113"	0	0	0	0	"0 + 0 part"	0	96.829	1.001	0	1.71	0	"5145 + 377 part"	"2853"	"2853"	"2573"	"451"	"44"	96755	"18123"	18064	"11067"	"10323"	"51"	"53"	"106"	"113"	"1030740"	"Desulfovibrio bizertensis DSM 18034"	3261014	11550906	347.86	52.15	"uniq"	" 2932"	"4"	0	5.41095233710423e-07	531.318142148424	0.00349845344813433
"fervent_blackwell_0 broken"	3	0	0	0	0	3528	0	0	0	0	15	1305	10073	3190397	40.59	41.71	558	NA	512	NA	6	NA	11	NA	1	1	525	0	"0 + 0 part"	0	0.309	1.023	0	20.32	0	"4 + 45 part"	"22"	"22"	"12"	"0"	"0"	1305	"558"	0	"511"	NA	"6"	NA	"11"	NA	"1030776"	"Salinicoccus kunmingensis DSM 17847"	3190397	40966	1.30307	41.71	"uniq"	" 3273"	"4"	99.2752903802244	0.00201727390052616	1.92606123940061	6.3654e-07
