"tool","precision","recall","precision_er","recall_er","real_size","predicted_size","dataset"
"Gold Standard",0.86,0.625,0.058,0.078,0.01549,0.01549,"low"
"taxator-tk",0.763,0.078,0.04,0.012,0.04272,0.0054,"low"
"MEGAN",0.673,0.001,0.006,0,1021.51374,1.12566,"low"
"PhyloPythiaS+",0.743,0.215,0.043,0.036,0.0422,0.01499,"low"
"Kraken",0.864,0.021,0.01,0.003,0.45475,0.01553,"low"
"Gold Standard",0.84,0.667,0.03,0.041,0.05599,0.05599,"medium"
"taxator-tk",0.809,0.035,0.024,0.004,0.09252,0.00493,"medium"
"MEGAN",0.716,0.005,0.008,0,97.28453,0.44475,"medium"
"PhyloPythiaS+",0.68,0.29,0.023,0.024,0.11848,0.05461,"medium"
"Kraken",0.841,0.059,0.011,0.005,0.58425,0.0561,"medium"
"Gold Standard",0.832,0.507,0.018,0.02,0.27955,0.27955,"high"
"taxator-tk",0.771,0.011,0.026,0.001,0.28619,0.00495,"high"
"MEGAN",0.412,0.007,0.005,0,64.22663,1.20494,"high"
"PhyloPythiaS+",0.665,0.304,0.018,0.015,0.36435,0.27989,"high"
"Kraken",0.728,0.103,0.008,0.004,1.19556,0.28019,"high"
