"tool","precision","recall","precision_er","recall_er","real_size","predicted_size","dataset"
"Gold Standard",0.25,0.222,0.035,0.101,0.00596,0.00596,"low"
"taxator-tk",0.428,0.053,0.052,0.024,0.00866,0.00139,"low"
"MEGAN",0.446,0.001,0.006,0,144.73608,0.19959,"low"
"PhyloPythiaS+",0.32,0.111,0.06,0.049,0.00628,0.00237,"low"
"Kraken",0.561,0.038,0.036,0.01,0.03749,0.00537,"low"
"Gold Standard",0.416,0.315,0.03,0.064,0.02237,0.01926,"medium"
"taxator-tk",0.736,0.043,0.044,0.008,0.02681,0.00198,"medium"
"MEGAN",0.608,0.003,0.013,0.001,74.18992,0.3391,"medium"
"PhyloPythiaS+",0.468,0.254,0.029,0.044,0.03204,0.0214,"medium"
"Kraken",0.651,0.115,0.023,0.017,0.08671,0.02352,"medium"
"Gold Standard",0.367,0.179,0.034,0.025,0.116,0.07872,"high"
"taxator-tk",0.682,0.009,0.049,0.002,0.11659,0.00205,"high"
"MEGAN",0.269,0.006,0.007,0.001,13.51438,0.25004,"high"
"PhyloPythiaS+",0.394,0.079,0.027,0.01,0.1247,0.06609,"high"
"Kraken",0.491,0.077,0.014,0.007,0.33251,0.10007,"high"
