"tool","precision","recall","precision_er","recall_er","real_size","predicted_size","dataset"
"Gold Standard",1,1,0,0,0.10069,0.10882,"low"
"taxator-tk",0.871,0.251,0.042,0.017,0.08189,0.10882,"low"
"MEGAN",0.052,0.302,0.007,0.024,8.70186,10.47862,"low"
"PhyloPythiaS+",0.699,0.815,0.047,0.035,0.08967,0.10882,"low"
"Kraken",0.094,0.703,0.012,0.044,0.08192,0.10882,"low"
"Gold Standard",1,1,0,0,0.36524,0.39342,"medium"
"taxator-tk",0.887,0.068,0.036,0.004,0.31718,0.39342,"medium"
"MEGAN",0.213,0.417,0.016,0.014,2.87806,3.47975,"medium"
"PhyloPythiaS+",0.646,0.807,0.03,0.023,0.32856,0.39342,"medium"
"Kraken",0.309,0.805,0.02,0.021,0.32818,0.39342,"medium"
"Gold Standard",1,1,0,0,1.80939,1.96215,"high"
"taxator-tk",1,0.018,0,0.001,1.54643,1.96215,"high"
"MEGAN",0.12,0.257,0.007,0.009,9.06718,10.47938,"high"
"PhyloPythiaS+",0.506,0.843,0.021,0.015,1.65764,1.96215,"high"
"Kraken",0.167,0.781,0.009,0.016,1.64695,1.96215,"high"
