binner	rank	precision	recall	predicted_size	real_size
modest_babbage_1	superkingdom	1.00	1.00	39718482	39804463
modest_babbage_1	superkingdom	0.00	nan	72610	0
modest_babbage_1	phylum	1.00	1.00	39614734	39804463
modest_babbage_1	phylum	0.00	nan	31201	0
modest_babbage_1	phylum	0.00	nan	18698	0
modest_babbage_1	phylum	0.00	nan	7998	0
modest_babbage_1	phylum	0.00	nan	7659	0
modest_babbage_1	class	1.00	0.97	29231203	30099738
modest_babbage_1	class	0.99	1.00	9732010	9704725
modest_babbage_1	class	0.00	nan	10890	0
modest_babbage_1	class	0.00	nan	7659	0
modest_babbage_1	class	0.00	nan	6521	0
modest_babbage_1	class	0.00	nan	5338	0
modest_babbage_1	class	0.00	nan	2253	0
modest_babbage_1	order	1.00	0.95	28572970	30099738
modest_babbage_1	order	0.99	1.00	9732010	9704725
modest_babbage_1	order	0.00	nan	12812	0
modest_babbage_1	order	0.00	nan	7659	0
modest_babbage_1	order	0.00	nan	6521	0
modest_babbage_1	order	0.00	nan	5338	0
modest_babbage_1	order	0.00	nan	2253	0
modest_babbage_1	family	0.00	nan	14442848	0
modest_babbage_1	family	1.00	0.94	14033746	14888857
modest_babbage_1	family	0.00	nan	91628	0
modest_babbage_1	family	0.00	nan	12812	0
modest_babbage_1	family	0.00	nan	6521	0
modest_babbage_1	family	0.00	nan	5338	0
modest_babbage_1	family	0.00	nan	1132	0
modest_babbage_1	genus	0.00	nan	14429847	0
modest_babbage_1	genus	1.00	0.94	14033746	14888857
modest_babbage_1	genus	0.00	nan	9677104	0
modest_babbage_1	genus	0.00	nan	57298	0
modest_babbage_1	genus	0.00	nan	34330	0
modest_babbage_1	genus	0.00	nan	13001	0
modest_babbage_1	genus	0.00	nan	6521	0
modest_babbage_1	species	0.00	nan	14334004	0
modest_babbage_1	species	0.00	nan	14033746	0
modest_babbage_1	species	0.00	nan	9124654	0
modest_babbage_1	species	0.00	nan	417030	0
modest_babbage_1	species	0.00	nan	57298	0
modest_babbage_1	species	0.00	nan	34330	0
modest_babbage_1	species	0.00	nan	14258	0
modest_babbage_1	species	0.00	nan	13001	0
modest_babbage_1	species	0.00	nan	6521	0
modest_babbage_1	species	0.00	nan	3014	0
stoic_albattani_1	superkingdom	1.00	0.04	3048450	72061050
stoic_albattani_1	phylum	1.00	0.04	3047850	72061050
stoic_albattani_1	phylum	0.00	nan	150	0
stoic_albattani_1	class	1.00	0.04	2267550	63604650
stoic_albattani_1	class	1.00	0.09	769650	8456400
stoic_albattani_1	class	0.00	nan	7200	0
stoic_albattani_1	class	0.00	nan	150	0
stoic_albattani_1	order	1.00	0.04	2260500	63604650
stoic_albattani_1	order	1.00	0.09	769650	8456400
stoic_albattani_1	order	0.00	nan	7200	0
stoic_albattani_1	order	0.00	nan	6300	0
stoic_albattani_1	order	0.00	nan	150	0
stoic_albattani_1	family	0.00	nan	2234400	0
stoic_albattani_1	family	0.00	nan	11550	0
stoic_albattani_1	family	0.00	nan	8100	0
stoic_albattani_1	family	0.00	nan	7200	0
stoic_albattani_1	family	0.00	nan	6300	0
stoic_albattani_1	family	0.00	nan	2850	0
stoic_albattani_1	family	0.00	nan	450	0
stoic_albattani_1	family	0.00	nan	150	0
stoic_albattani_1	family	0.00	nan	150	0
stoic_albattani_1	family	0.00	nan	150	0
stoic_albattani_1	family	0.00	nan	150	0
stoic_albattani_1	genus	0.00	nan	2232300	0
stoic_albattani_1	genus	0.00	nan	766050	0
stoic_albattani_1	genus	0.00	nan	11400	0
stoic_albattani_1	genus	0.00	nan	6300	0
stoic_albattani_1	genus	0.00	nan	5550	0
