"tool","precision","recall","precision_er","recall_er","real_size","predicted_size","dataset"
"Gold Standard",1,1,0,0,0.00596,0.00596,"low"
"MyCC",0.472,0.324,0.11,0.101,0.00629,0.00552,"low"
"MetaWatt-3.5",0.577,0.424,0.047,0.074,0.00725,0.00589,"low"
"MetaBAT",0.543,0.298,0.119,0.096,0.00596,0.00536,"low"
"CONCOCT",0.51,0.263,0.153,0.096,0.00675,0.00562,"low"
"MaxBin 2.0",0.919,0.653,0.043,0.109,0.00596,0.00423,"low"
"Gold Standard",1,1,0,0,0.02237,0.02237,"medium"
"MyCC",0.39,0.294,0.027,0.053,0.02543,0.02078,"medium"
"MetaWatt-3.5",0.813,0.255,0.021,0.027,0.06334,0.01977,"medium"
"MetaBAT",0.717,0.407,0.032,0.043,0.02844,0.0189,"medium"
"CONCOCT",0.672,0.463,0.052,0.063,0.02516,0.02094,"medium"
"MaxBin 2.0",0.92,0.507,0.023,0.055,0.02574,0.01325,"medium"
"Gold Standard",1,1,0,0,0.116,0.116,"high"
"MyCC",0.12,0.229,0.011,0.023,0.12367,0.09952,"high"
"MetaWatt-3.5",0.87,0.268,0.008,0.013,NA,0.10283,"high"
"MetaBAT",0.225,0.189,0.02,0.02,0.12283,0.06188,"high"
"CONCOCT",0.179,0.27,0.018,0.026,0.12116,0.10829,"high"
"MaxBin 2.0",0.941,0.137,0.018,0.021,0.117,0.01617,"high"
