genome_ID	NCBI_ID	OTU	novelty_category
1030716	1121911	5	new_genus
1030728	1121270	9	new_family
1030737	1123491	12	new_strain
1030740	1121442	13	new_species
1030776	1123232	24	new_species
1030782	1123358	25	new_strain
1030800	1120981	31	new_genus
1030806	1121478	33	new_genus
1030812	1121466	35	new_species
1030869	1122961	48	new_strain
1030881	1122958	52	new_species
1030896	1123266	55	new_species
1030905	1121439	56	new_strain
1030968	1123492	64	new_strain
1035906	39498	67	new_strain
1035921	745369	71	new_family
1035939	35623	76	new_species
1035951	915	79	new_strain
1035969	466	80	new_genus
1035981	393921	84	new_strain
1035993	1513	88	new_strain
1036011	28136	93	new_strain
1036557	1122184	99	new_genus
1036566	1121088	102	new_strain
1036614	1121881	118	new_genus
1036629	1121264	122	new_genus
1036635	1121128	124	new_strain
1036680	1121316	138	new_species
1036683	1121131	139	new_strain
1036695	1121132	143	new_species
1036701	1123350	145	new_genus
1036704	1123003	146	new_genus
1036716	1121428	150	new_strain
1036731	1121266	155	new_genus
1036782	445973	168	new_strain
1036785	299255	169	new_species
1036800	1123357	172	new_genus
1036803	1123029	173	new_genus
1048861	103732	188	new_genus
1048870	68170	191	new_genus
1048885	2030	195	new_genus
1048939	639310	204	new_genus
1048942	688913	205	new_genus
1048945	688867	205	new_genus
1048966	1061	212	new_strain
1048978	121821	216	new_genus
1049011	441209	216	new_genus
1049032	561061	230	new_species
1049035	570520	231	new_species
1049083	1513896	244	new_species
1052941	354	248	new_strain
1052950	82367	250	new_strain
1052953	82367	250	new_strain
1052959	2242	251	new_strain
1052965	2242	251	new_strain
1052968	1061	212	new_strain
1052974	759851	252	new_strain
1052977	759851	252	new_strain
1052992	382	254	new_strain
1052995	382	254	new_strain
1052998	1525	255	new_strain
1053004	1525	255	new_strain
1053022	1082	257	new_strain
1053025	1082	257	new_strain
1053028	1082	257	new_strain
1053031	1082	257	new_strain
1053034	1516	258	new_strain
1053037	1516	258	new_strain
1053040	192	259	new_strain
1053049	629679	262	new_species
1053055	280	263	new_strain
1021_AP	1763	270	new_species
1021_AQ	80864	271	new_genus
1021_AS	80864	271	new_genus
1021_C	2062	279	new_genus
1021_P	1707	285	new_species
1139_AA	69278	291	new_genus
1139_AF	85413	293	new_genus
1139_AL	379	298	new_species
1139_AW	13687	304	new_species
1139_B	162491	307	new_genus
1139_BF	80864	309	new_genus
1139_CF	80864	309	new_genus
1139_CJ	1707	285	new_species
1139_CO	80864	309	new_genus
1139_T	13687	304	new_species
1139_Y	169973	335	new_species
1220_A	85023	336	new_genus
1220_AO	1143711	349	new_species
1220_AR	367298	350	new_genus
1220_AX	1707	285	new_species
1220_BB	13687	304	new_species
1220_BD	169973	335	new_species
1220_CF	69278	291	new_genus
1220_E	1817	366	new_species
1220_X	53458	374	new_species
1285_AC	460257	379	new_species
1285_AD	1827	380	new_species
1285_AK	311234	386	new_species
1285_BD	59732	399	new_species
1285_BF	1707	285	new_species
1285_BO	460257	379	new_species
1285_BV	16	412	new_species
1285_CF	92511	417	new_species
1285_CG	257003	418	new_strain
1285_CK	460257	379	new_species
1286_AF	454586	437	new_strain
1286_AO	255475	440	new_genus
1286_BD	16	412	new_species
1286_BU	16	412	new_species
1286_BV	85413	293	new_genus
1286_G	1385	458	new_family
1286_Y	255475	440	new_genus
1287_BC	2062	279	new_genus
1287_BD	367298	350	new_genus
1287_BN	84567	470	new_species
1287_BO	34038	471	new_strain
1287_N	162491	307	new_genus
1287_W	80864	478	new_genus
Sample22_100	10239	p0	-
Sample22_11	45202	p1	+
Sample22_110	32644	p2	=
Sample22_112	45202	p1	+
Sample22_114	32644	p2	=
Sample22_16	45202	p1	+
Sample22_17	45202	p1	+
Sample22_193	32644	p2	=
Sample22_2	10239	p0	-
Sample22_210	45202	p1	+
Sample22_214	45202	p1	+
Sample22_218	45202	p1	+
Sample22_561	32644	p2	=
Sample22_570	45202	p1	+
Sample22_61	10239	p0	-
Sample22_625	45202	p1	+
Sample22_66	10239	p0	-
Sample22_762	32644	p2	=
Sample22_823	32644	p2	=
Sample22_87	10239	p0	-
Sample22_94	10239	p0	-
Sample23_142	32644	p2	=
Sample23_145	45202	p1	+
Sample23_147	32644	p2	=
Sample23_148	32644	p2	=
Sample23_175	45202	p1	+
Sample23_22	32644	p2	=
Sample23_25	10239	p0	-
Sample23_257	32644	p2	=
Sample23_283	45202	p1	+
Sample23_370	45202	p1	+
Sample23_378	32644	p2	=
Sample23_4	10239	p0	-
Sample23_512	32644	p2	=
Sample23_513	32644	p2	=
Sample23_75	45202	p1	+
Sample24_109	45202	p1	+
Sample24_51	45202	p1	+
Sample24_59	45202	p1	+
Sample24_63	45202	p1	+
Sample24_66	45202	p1	+
Sample24_68	45202	p1	+
Sample24_88	10239	p0	-
Sample9_158	32644	p2	=
Sample9_16	45202	p1	+
Sample9_165	32644	p2	=
Sample9_19	45202	p1	+
Sample9_192	32644	p2	=
Sample9_193	32644	p2	=
Sample9_66	10239	p0	-
Sample9_7	45202	p1	+
Sample15_101	32644	p2	=
Sample15_102	32644	p2	=
Sample15_103	32644	p2	=
Sample15_104	32644	p2	=
Sample15_107	32644	p2	=
Sample15_108	32644	p2	=
Sample15_13	10239	p0	-
Sample15_24	45202	p1	+
Sample15_49	10239	p0	-
Sample15_73	32644	p2	=
Sample15_75	32644	p2	=
Sample15_91	32644	p2	=
Sample16_154	45202	p1	+
Sample16_245	32644	p2	=
Sample16_65	32644	p2	=
Sample16_69	45202	p1	+
Sample18_112	45202	p1	+
Sample18_113	45202	p1	+
Sample18_199	45202	p1	+
Sample18_262	32644	p2	=
Sample18_264	32644	p2	=
Sample18_267	32644	p2	=
Sample18_349	32644	p2	=
Sample18_6	45202	p1	+
Sample18_60	45202	p1	+
Sample18_62	45202	p1	+
Sample18_77	45202	p1	+
Sample19_25	45202	p1	+
Sample19_29	32644	p2	=
Sample19_309	32644	p2	=
Sample19_31	10239	p0	-
Sample19_34	10239	p0	-
Sample19_38	10239	p0	-
Sample19_54	32644	p2	=
Sample19_61	10239	p0	-
Sample20_11	10239	p0	-
Sample20_114	32644	p2	=
Sample20_16	10239	p0	-
Sample20_90	45202	p1	+
Sample6_192	45202	p1	+
Sample6_199	45202	p1	+
Sample6_203	45202	p1	+
Sample6_235	45202	p1	+
Sample6_323	45202	p1	+
Sample6_355	32644	p2	=
Sample6_55	10239	p0	-
Sample6_617	32644	p2	=
Sample6_680	32644	p2	=
Sample6_74	45202	p1	+
evo_1030728.009	1121270		
evo_1030728.038	1121270		
evo_1030728.035	1121270		
evo_1030728.011	1121270		
evo_1030728.001	1121270		
evo_1286_G.010	1385		
evo_1286_G.034	1385		
evo_1035921.028	745369		
evo_1035921.008	745369		
evo_1035921.030	745369		
evo_1035921.007	745369		
evo_1139_Y.035	169973		
evo_1139_Y.018	169973		
