genome_ID	NCBI_ID	OTU	novelty_category
1010920	1123498	0	new_species
1030704	1122188	1	new_species
1030707	1121401	2	new_genus
1030710	1121255	3	new_genus
1030713	1121412	4	new_species
1030716	1121911	5	new_genus
1030719	1121405	6	new_strain
1030722	1121449	7	new_species
1030725	1121450	8	new_species
1030728	1121270	9	new_family
1030731	1123019	10	new_species
1030734	1121868	11	new_species
1030737	1123491	12	new_strain
1030740	1121442	13	new_species
1030743	1123271	14	new_species
1030746	1123272	14	new_species
1030749	1123014	15	new_species
1030752	1123015	16	new_strain
1030755	1121001	17	new_genus
1030758	1121014	18	new_species
1030761	1122185	19	new_species
1030764	1123238	20	new_species
1030767	1122148	21	new_species
1030770	1122150	22	new_species
1030773	1122151	23	new_species
1030776	1123232	24	new_species
1030782	1123358	25	new_strain
1030785	1121021	26	new_genus
1030788	1123031	27	new_species
1030791	1123022	28	new_species
1030794	1121484	29	new_species
1030797	1121119	30	new_species
1030800	1120981	31	new_genus
1030803	1122136	32	new_species
1030806	1121478	33	new_genus
1030809	1121452	34	new_species
1030812	1121466	35	new_species
1030815	1121463	36	new_species
1030818	1123006	37	new_genus
1030821	1123000	38	new_genus
1030824	1123374	39	new_species
1030827	1121872	40	new_strain
1030830	1121029	41	new_species
1030833	1122234	42	new_species
1030836	1121885	43	new_family
1030839	1123064	44	new_species
1030845	1123269	45	new_species
1030857	1123496	46	new_species
1030860	1121120	47	new_species
1030869	1122961	48	new_strain
1030872	1122969	49	new_genus
1030875	1122945	50	new_genus
1030878	1122187	51	new_species
1030881	1122958	52	new_species
1030890	1121350	53	new_species
1030893	1123030	54	new_species
1030896	1123266	55	new_species
1030905	1121439	56	new_strain
1030911	1123260	57	new_genus
1030917	1123280	58	new_genus
1030929	1123264	59	new_species
1030935	1123061	60	new_species
1030947	1449332	61	new_species
1030956	1121460	62	new_species
1030965	1121959	63	new_species
1030968	1123492	64	new_strain
1035897	28122	65	new_species
1035900	644383	66	new_family
1035906	39498	67	new_strain
1035909	142842	68	new_genus
1035912	244584	69	new_species
1035915	33922	70	new_species
1035921	745369	71	new_family
1035924	171291	72	new_species
1035930	2088	73	new_order
1035933	261392	74	new_species
1035936	225004	75	new_species
1035939	35623	76	new_species
1035945	42322	77	new_species
1035948	745368	78	new_genus
1035951	915	79	new_strain
1035969	466	80	new_genus
1035972	36874	81	new_species
1035975	48467	82	new_genus
1035978	180163	83	new_species
1035981	393921	84	new_strain
1035984	263852	85	new_genus
1035987	29524	86	new_species
1035990	48464	87	new_genus
1035993	1513	88	new_strain
1035996	115783	89	new_species
1035999	28898	90	new_species
1036002	92487	91	new_species
1036008	64969	92	new_genus
1036011	28136	93	new_strain
1036539	1121884	43	new_family
1036542	1122133	94	new_species
1036545	1121391	95	new_genus
1036548	1121416	96	new_genus
1036551	1123404	97	new_genus
1036554	1123243	98	new_genus
1036557	1122184	99	new_genus
1036560	1121256	100	new_genus
1036563	1121457	101	new_species
1036566	1121088	102	new_strain
1036569	876	103	new_strain
1036572	1121425	104	new_species
1036575	1121395	105	new_species
1036578	1121455	106	new_species
1036581	1120923	107	new_species
1036584	1121429	108	new_species
1036587	1121942	109	new_species
1036590	1121026	110	new_species
1036593	1121477	111	new_genus
1036596	1122206	112	new_species
1036599	1123071	113	new_species
1036602	1123231	114	new_species
1036605	1122159	115	new_species
1036608	1122156	116	new_genus
1036611	1121262	117	new_species
1036614	1121881	118	new_genus
1036617	1122930	119	new_genus
1036620	1121421	120	new_species
