genome_ID	NCBI_ID	OTU	novelty_category
1030752	1123015	16	new_strain
1030755	1121001	17	new_genus
1030836	1121885	43	new_family
1030878	1122187	51	new_species
1035900	644383	66	new_family
1035930	2088	73	new_order
1036539	1121884	43	new_family
1036554	1123243	98	new_genus
1036608	1122156	116	new_genus
1036641	1123349	126	new_genus
1036707	1121301	147	new_species
1036728	1120989	154	new_family
1036743	1120996	157	new_genus
1036755	1121393	160	new_strain
1048783	2371	185	new_strain
1048993	328515	220	new_strain
1049005	404881	223	new_genus
1049056	1004304	237	new_family
1049089	990712	246	new_genus
1052944	266	249	new_strain
1052947	266	249	new_strain
1053058	266	249	new_strain
1139_AG	29580	294	new_species
1220_AD	173053	340	new_species
1220_AJ	75309	345	new_species
1285_BH	2037	402	new_family
1286_AP	1385	441	new_family
1365_A	29580	294	new_species
Sample22_283	45202	p1	+
Sample22_57	10239	p0	-
Sample22_89	10239	p0	-
Sample23_271	32644	p2	=
Sample23_273	45202	p1	+
Sample23_288	32644	p2	=
Sample9_2	10239	p0	-
Sample9_65	32644	p2	=
Sample15_97	32644	p2	=
Sample16_19	32644	p2	=
Sample18_57	45202	p1	+
Sample18_8	45202	p1	+
Sample19_20	45202	p1	+
Sample19_52	10239	p0	-
Sample19_56	45202	p1	+
Sample6_289	45202	p1	+
Sample6_476	10239	p0	-
Sample6_49	10239	p0	-
Sample6_527	10239	p0	-
Sample6_722	32644	p2	=
evo_1035930.011	2088		
evo_1035930.029	2088		
evo_1035930.032	2088		
evo_1286_AP.037	1385		
evo_1286_AP.008	1385		
evo_1286_AP.026	1385		
evo_1286_AP.033	1385		
evo_1049056.031	1004304		
evo_1049056.011	1004304		
evo_1049056.013	1004304		
evo_1049056.015	1004304		
evo_1049056.039	1004304		
