"rank"	"bin"	"precision"	"recall"	"predicted_size"	"real_size"	"binner"
"superkingdom"	"unassigned"	NA	NA	7599128	0	"Gold Standard"
"phylum"	"unassigned"	NA	NA	7599128	0	"Gold Standard"
"class"	"unassigned"	NA	NA	7599128	0	"Gold Standard"
"order"	"unassigned"	NA	NA	7599128	0	"Gold Standard"
"family"	"unassigned"	NA	NA	7599128	0	"Gold Standard"
"genus"	"unassigned"	NA	NA	7599128	0	"Gold Standard"
"species"	"unassigned"	NA	NA	7599128	0	"Gold Standard"
"superkingdom"	"Bacteria"	0	NA	140514	0	"evil_yalow_0"
"superkingdom"	"unassigned"	NA	NA	7458614	0	"evil_yalow_0"
"phylum"	"Firmicutes"	0	NA	62745	0	"evil_yalow_0"
"phylum"	"Proteobacteria"	0	NA	59860	0	"evil_yalow_0"
"phylum"	"Actinobacteria"	0	NA	8303	0	"evil_yalow_0"
"phylum"	"Bacteroidetes"	0	NA	1015	0	"evil_yalow_0"
"phylum"	"unassigned"	NA	NA	7467205	0	"evil_yalow_0"
"class"	"Gammaproteobacteria"	0	NA	59860	0	"evil_yalow_0"
"class"	"Clostridia"	0	NA	43779	0	"evil_yalow_0"
"class"	"Actinobacteria"	0	NA	8303	0	"evil_yalow_0"
"class"	"unassigned"	NA	NA	7487186	0	"evil_yalow_0"
"order"	"Enterobacteriales"	0	NA	59860	0	"evil_yalow_0"
"order"	"Clostridiales"	0	NA	43779	0	"evil_yalow_0"
"order"	"Actinomycetales"	0	NA	8303	0	"evil_yalow_0"
"order"	"unassigned"	NA	NA	7487186	0	"evil_yalow_0"
"family"	"Enterobacteriaceae"	0	NA	59860	0	"evil_yalow_0"
"family"	"unassigned"	NA	NA	7539268	0	"evil_yalow_0"
"genus"	"unassigned"	NA	NA	7599128	0	"evil_yalow_0"
"species"	"unassigned"	NA	NA	7599128	0	"evil_yalow_0"
"superkingdom"	"Bacteria"	0	NA	140514	0	"fervent_sammet_1"
"superkingdom"	"unassigned"	NA	NA	7458614	0	"fervent_sammet_1"
"phylum"	"Firmicutes"	0	NA	62745	0	"fervent_sammet_1"
"phylum"	"Proteobacteria"	0	NA	59860	0	"fervent_sammet_1"
"phylum"	"Actinobacteria"	0	NA	15259	0	"fervent_sammet_1"
"phylum"	"Bacteroidetes"	0	NA	2650	0	"fervent_sammet_1"
"phylum"	"unassigned"	NA	NA	7458614	0	"fervent_sammet_1"
"class"	"Gammaproteobacteria"	0	NA	59860	0	"fervent_sammet_1"
"class"	"Clostridia"	0	NA	43779	0	"fervent_sammet_1"
"class"	"Actinobacteria"	0	NA	15259	0	"fervent_sammet_1"
"class"	"unassigned"	NA	NA	7480230	0	"fervent_sammet_1"
"order"	"Enterobacteriales"	0	NA	59860	0	"fervent_sammet_1"
"order"	"Clostridiales"	0	NA	43779	0	"fervent_sammet_1"
"order"	"Actinomycetales"	0	NA	15259	0	"fervent_sammet_1"
"order"	"unassigned"	NA	NA	7480230	0	"fervent_sammet_1"
"family"	"Enterobacteriaceae"	0	NA	59860	0	"fervent_sammet_1"
"family"	"unassigned"	NA	NA	7539268	0	"fervent_sammet_1"
"genus"	"unassigned"	NA	NA	7599128	0	"fervent_sammet_1"
"species"	"unassigned"	NA	NA	7599128	0	"fervent_sammet_1"
"superkingdom"	"Bacteria"	0	NA	492456	0	"modest_babbage_0"
"superkingdom"	"unassigned"	NA	NA	7106672	0	"modest_babbage_0"
"phylum"	"unassigned"	NA	NA	7599128	0	"modest_babbage_0"
"class"	"unassigned"	NA	NA	7599128	0	"modest_babbage_0"
"order"	"unassigned"	NA	NA	7599128	0	"modest_babbage_0"
"family"	"unassigned"	NA	NA	7599128	0	"modest_babbage_0"
"genus"	"unassigned"	NA	NA	7599128	0	"modest_babbage_0"
"species"	"unassigned"	NA	NA	7599128	0	"modest_babbage_0"
"superkingdom"	"Bacteria"	0	NA	7587509	0	"modest_babbage_3"
"superkingdom"	"unassigned"	NA	NA	11619	0	"modest_babbage_3"
"phylum"	"Proteobacteria"	0	NA	4358436	0	"modest_babbage_3"
"phylum"	"Firmicutes"	0	NA	1243090	0	"modest_babbage_3"
"phylum"	"Bacteroidetes"	0	NA	430492	0	"modest_babbage_3"
"phylum"	"Actinobacteria"	0	NA	379380	0	"modest_babbage_3"
"phylum"	"Spirochaetes"	0	NA	161765	0	"modest_babbage_3"
"phylum"	"Nitrospirae"	0	NA	54752	0	"modest_babbage_3"
"phylum"	"Cyanobacteria"	0	NA	43779	0	"modest_babbage_3"
"phylum"	"Tenericutes"	0	NA	23466	0	"modest_babbage_3"
"phylum"	"Fibrobacteres"	0	NA	19851	0	"modest_babbage_3"
"phylum"	"Verrucomicrobia"	0	NA	19334	0	"modest_babbage_3"
"phylum"	"unassigned"	NA	NA	864783	0	"modest_babbage_3"
"class"	"Deltaproteobacteria"	0	NA	1630425	0	"modest_babbage_3"
"class"	"Alphaproteobacteria"	0	NA	1040966	0	"modest_babbage_3"
"class"	"Clostridia"	0	NA	933682	0	"modest_babbage_3"
"class"	"Gammaproteobacteria"	0	NA	603831	0	"modest_babbage_3"
"class"	"Actinobacteria"	0	NA	379380	0	"modest_babbage_3"
"class"	"Bacteroidia"	0	NA	318802	0	"modest_babbage_3"
"class"	"Epsilonproteobacteria"	0	NA	304310	0	"modest_babbage_3"
"class"	"Betaproteobacteria"	0	NA	204768	0	"modest_babbage_3"
"class"	"Spirochaetia"	0	NA	161765	0	"modest_babbage_3"
"class"	"Bacilli"	0	NA	106074	0	"modest_babbage_3"
"class"	"Cytophagia"	0	NA	94054	0	"modest_babbage_3"
"class"	"Nitrospira"	0	NA	54752	0	"modest_babbage_3"
"class"	"Negativicutes"	0	NA	42479	0	"modest_babbage_3"
"class"	"Mollicutes"	0	NA	23466	0	"modest_babbage_3"
"class"	"Fibrobacteria"	0	NA	19851	0	"modest_babbage_3"
"class"	"Verrucomicrobiae"	0	NA	19334	0	"modest_babbage_3"
"class"	"Sphingobacteriia"	0	NA	9463	0	"modest_babbage_3"
"class"	"unassigned"	NA	NA	1651726	0	"modest_babbage_3"
"order"	"Desulfovibrionales"	0	NA	1061228	0	"modest_babbage_3"
"order"	"Clostridiales"	0	NA	900611	0	"modest_babbage_3"
"order"	"Rhodobacterales"	0	NA	466799	0	"modest_babbage_3"
"order"	"Bacteroidales"	0	NA	318802	0	"modest_babbage_3"
"order"	"Actinomycetales"	0	NA	272510	0	"modest_babbage_3"
"order"	"Campylobacterales"	0	NA	269403	0	"modest_babbage_3"
"order"	"Desulfuromonadales"	0	NA	231883	0	"modest_babbage_3"
"order"	"Rickettsiales"	0	NA	223016	0	"modest_babbage_3"
"order"	"Spirochaetales"	0	NA	161765	0	"modest_babbage_3"
"order"	"Burkholderiales"	0	NA	121076	0	"modest_babbage_3"
"order"	"Aeromonadales"	0	NA	113588	0	"modest_babbage_3"
"order"	"Coriobacteriales"	0	NA	106870	0	"modest_babbage_3"
"order"	"Oceanospirillales"	0	NA	106630	0	"modest_babbage_3"
"order"	"Lactobacillales"	0	NA	106074	0	"modest_babbage_3"
"order"	"Rhizobiales"	0	NA	104909	0	"modest_babbage_3"
"order"	"Enterobacteriales"	0	NA	98219	0	"modest_babbage_3"
"order"	"Cytophagales"	0	NA	94054	0	"modest_babbage_3"
"order"	"Pseudomonadales"	0	NA	85296	0	"modest_babbage_3"
"order"	"Rhodospirillales"	0	NA	69947	0	"modest_babbage_3"
"order"	"Syntrophobacterales"	0	NA	58025	0	"modest_babbage_3"
"order"	"Thiotrichales"	0	NA	55480	0	"modest_babbage_3"
"order"	"Nitrospirales"	0	NA	54752	0	"modest_babbage_3"
"order"	"Selenomonadales"	0	NA	42479	0	"modest_babbage_3"
"order"	"Thermoanaerobacterales"	0	NA	33071	0	"modest_babbage_3"
"order"	"Rhodocyclales"	0	NA	27865	0	"modest_babbage_3"
"order"	"Xanthomonadales"	0	NA	23591	0	"modest_babbage_3"
"order"	"Desulfobacterales"	0	NA	22579	0	"modest_babbage_3"
"order"	"Neisseriales"	0	NA	19897	0	"modest_babbage_3"
"order"	"Fibrobacterales"	0	NA	19851	0	"modest_babbage_3"
"order"	"Verrucomicrobiales"	0	NA	19334	0	"modest_babbage_3"
"order"	"Sphingomonadales"	0	NA	18212	0	"modest_babbage_3"
"order"	"Sphingobacteriales"	0	NA	9463	0	"modest_babbage_3"
"order"	"unassigned"	NA	NA	2281849	0	"modest_babbage_3"
"family"	"Desulfovibrionaceae"	0	NA	636571	0	"modest_babbage_3"
"family"	"Rhodobacteraceae"	0	NA	466799	0	"modest_babbage_3"
"family"	"Syntrophomonadaceae"	0	NA	287772	0	"modest_babbage_3"
"family"	"Anaplasmataceae"	0	NA	223016	0	"modest_babbage_3"
"family"	"Porphyromonadaceae"	0	NA	160664	0	"modest_babbage_3"
"family"	"Coriobacteriaceae"	0	NA	106870	0	"modest_babbage_3"
"family"	"Comamonadaceae"	0	NA	102776	0	"modest_babbage_3"
"family"	"Rhizobiaceae"	0	NA	98321	0	"modest_babbage_3"
"family"	"Enterobacteriaceae"	0	NA	98219	0	"modest_babbage_3"
"family"	"Aeromonadaceae"	0	NA	91543	0	"modest_babbage_3"
"family"	"Eubacteriaceae"	0	NA	82972	0	"modest_babbage_3"
"family"	"Campylobacteraceae"	0	NA	82140	0	"modest_babbage_3"
"family"	"Lactobacillaceae"	0	NA	75918	0	"modest_babbage_3"
"family"	"Spirochaetaceae"	0	NA	71471	0	"modest_babbage_3"
"family"	"Acetobacteraceae"	0	NA	69947	0	"modest_babbage_3"
"family"	"Pseudomonadaceae"	0	NA	67519	0	"modest_babbage_3"
"family"	"Lachnospiraceae"	0	NA	65082	0	"modest_babbage_3"
"family"	"Desulfomicrobiaceae"	0	NA	62751	0	"modest_babbage_3"
"family"	"Prevotellaceae"	0	NA	60194	0	"modest_babbage_3"
"family"	"Halomonadaceae"	0	NA	58997	0	"modest_babbage_3"
"family"	"Sanguibacteraceae"	0	NA	58041	0	"modest_babbage_3"
"family"	"Nitrospiraceae"	0	NA	54752	0	"modest_babbage_3"
"family"	"Ruminococcaceae"	0	NA	54045	0	"modest_babbage_3"
"family"	"Syntrophobacteraceae"	0	NA	50477	0	"modest_babbage_3"
"family"	"Thiotrichaceae"	0	NA	49247	0	"modest_babbage_3"
"family"	"Veillonellaceae"	0	NA	42479	0	"modest_babbage_3"
"family"	"Geobacteraceae"	0	NA	38146	0	"modest_babbage_3"
"family"	"Oceanospirillaceae"	0	NA	36344	0	"modest_babbage_3"
"family"	"Micrococcaceae"	0	NA	33209	0	"modest_babbage_3"
"family"	"Intrasporangiaceae"	0	NA	31387	0	"modest_babbage_3"
"family"	"Clostridiales Family XI. Incertae Sedis"	0	NA	29326	0	"modest_babbage_3"
"family"	"Rhodocyclaceae"	0	NA	27865	0	"modest_babbage_3"
"family"	"Streptomycetaceae"	0	NA	26760	0	"modest_babbage_3"
"family"	"Xanthomonadaceae"	0	NA	23591	0	"modest_babbage_3"
"family"	"Succinivibrionaceae"	0	NA	22045	0	"modest_babbage_3"
"family"	"Nocardioidaceae"	0	NA	20939	0	"modest_babbage_3"
"family"	"Fibrobacteraceae"	0	NA	19851	0	"modest_babbage_3"
"family"	"Peptostreptococcaceae"	0	NA	18631	0	"modest_babbage_3"
"family"	"Sphingomonadaceae"	0	NA	18212	0	"modest_babbage_3"
"family"	"Moraxellaceae"	0	NA	17777	0	"modest_babbage_3"
"family"	"Desulfobulbaceae"	0	NA	16792	0	"modest_babbage_3"
"family"	"family_butyrate-producing bacterium SS3/4"	0	NA	15340	0	"modest_babbage_3"
"family"	"Verrucomicrobiaceae"	0	NA	13796	0	"modest_babbage_3"
"family"	"Neisseriaceae"	0	NA	13301	0	"modest_babbage_3"
"family"	"Microbacteriaceae"	0	NA	13048	0	"modest_babbage_3"
"family"	"Williamsiaceae"	0	NA	6958	0	"modest_babbage_3"
"family"	"Chromobacteriaceae"	0	NA	6596	0	"modest_babbage_3"
"family"	"Methylobacteriaceae"	0	NA	6588	0	"modest_babbage_3"
"family"	"Desulfobacteraceae"	0	NA	5787	0	"modest_babbage_3"
"family"	"Nocardiaceae"	0	NA	5763	0	"modest_babbage_3"
"family"	"Mycobacteriaceae"	0	NA	5741	0	"modest_babbage_3"
"family"	"Cyclobacteriaceae"	0	NA	5568	0	"modest_babbage_3"
"family"	"Cytophagaceae"	0	NA	5545	0	"modest_babbage_3"
"family"	"unassigned"	NA	NA	3835639	0	"modest_babbage_3"
"genus"	"Desulfovibrio"	0	NA	386331	0	"modest_babbage_3"
"genus"	"Porphyromonas"	0	NA	136874	0	"modest_babbage_3"
"genus"	"genus_Rhodobacteraceae bacterium HTCC2083"	0	NA	88534	0	"modest_babbage_3"
"genus"	"Sagittula"	0	NA	82976	0	"modest_babbage_3"
"genus"	"Eubacterium"	0	NA	82972	0	"modest_babbage_3"
"genus"	"Campylobacter"	0	NA	82140	0	"modest_babbage_3"
"genus"	"Acidovorax"	0	NA	75163	0	"modest_babbage_3"
"genus"	"Agrobacterium"	0	NA	73150	0	"modest_babbage_3"
