"rank"	"bin"	"precision"	"recall"	"predicted_size"	"real_size"	"binner"
"superkingdom"	"Bacteria"	1	1	136397801	136397801	"adoring_lalande - Gold Standard_1"
"superkingdom"	"Archaea"	1	1	6411802	6411802	"adoring_lalande - Gold Standard_1"
"phylum"	"Proteobacteria"	1	1	86840326	86840326	"adoring_lalande - Gold Standard_1"
"phylum"	"Firmicutes"	1	1	41994973	41994973	"adoring_lalande - Gold Standard_1"
"phylum"	"Bacteroidetes"	1	1	7562502	7562502	"adoring_lalande - Gold Standard_1"
"phylum"	"Euryarchaeota"	1	1	6411802	6411802	"adoring_lalande - Gold Standard_1"
"class"	"Alphaproteobacteria"	1	1	61809107	61809107	"adoring_lalande - Gold Standard_1"
"class"	"Clostridia"	1	1	29404258	29404258	"adoring_lalande - Gold Standard_1"
"class"	"Gammaproteobacteria"	1	1	19184976	19184976	"adoring_lalande - Gold Standard_1"
"class"	"Bacilli"	1	1	12590715	12590715	"adoring_lalande - Gold Standard_1"
"class"	"Halobacteria"	1	1	4877686	4877686	"adoring_lalande - Gold Standard_1"
"class"	"Sphingobacteriia"	1	1	4779416	4779416	"adoring_lalande - Gold Standard_1"
"class"	"Deltaproteobacteria"	1	1	3111934	3111934	"adoring_lalande - Gold Standard_1"
"class"	"Bacteroidia"	1	1	2783086	2783086	"adoring_lalande - Gold Standard_1"
"class"	"Betaproteobacteria"	1	1	2734309	2734309	"adoring_lalande - Gold Standard_1"
"class"	"Thermoplasmata"	1	1	1534116	1534116	"adoring_lalande - Gold Standard_1"
"order"	"Rhodospirillales"	1	1	22154048	22154048	"adoring_lalande - Gold Standard_1"
"order"	"Clostridiales"	1	1	19004148	19004148	"adoring_lalande - Gold Standard_1"
"order"	"Rhizobiales"	1	1	18801163	18801163	"adoring_lalande - Gold Standard_1"
"order"	"Rhodobacterales"	1	1	17120811	17120811	"adoring_lalande - Gold Standard_1"
"order"	"Thermoanaerobacterales"	1	1	10400110	10400110	"adoring_lalande - Gold Standard_1"
"order"	"Bacillales"	1	1	10193867	10193867	"adoring_lalande - Gold Standard_1"
"order"	"Vibrionales"	1	1	8287247	8287247	"adoring_lalande - Gold Standard_1"
"order"	"Pseudomonadales"	1	1	5477884	5477884	"adoring_lalande - Gold Standard_1"
"order"	"Enterobacteriales"	1	1	5419845	5419845	"adoring_lalande - Gold Standard_1"
"order"	"Halobacteriales"	1	1	4877686	4877686	"adoring_lalande - Gold Standard_1"
"order"	"Sphingobacteriales"	1	1	4779416	4779416	"adoring_lalande - Gold Standard_1"
"order"	"Sphingomonadales"	1	1	3733085	3733085	"adoring_lalande - Gold Standard_1"
"order"	"Desulfovibrionales"	1	1	3111934	3111934	"adoring_lalande - Gold Standard_1"
"order"	"Bacteroidales"	1	1	2783086	2783086	"adoring_lalande - Gold Standard_1"
"order"	"Nitrosomonadales"	1	1	2734309	2734309	"adoring_lalande - Gold Standard_1"
"order"	"Lactobacillales"	1	1	2396848	2396848	"adoring_lalande - Gold Standard_1"
"order"	"Thermoplasmatales"	1	1	1534116	1534116	"adoring_lalande - Gold Standard_1"
"family"	"Rhodospirillaceae"	1	1	22154048	22154048	"adoring_lalande - Gold Standard_1"
"family"	"Rhodobacteraceae"	1	1	17120811	17120811	"adoring_lalande - Gold Standard_1"
"family"	"Rhizobiaceae"	1	1	13774939	13774939	"adoring_lalande - Gold Standard_1"
"family"	"Thermoanaerobacteraceae"	1	1	10400110	10400110	"adoring_lalande - Gold Standard_1"
"family"	"Vibrionaceae"	1	1	8287247	8287247	"adoring_lalande - Gold Standard_1"
"family"	"Planococcaceae"	1	1	7245311	7245311	"adoring_lalande - Gold Standard_1"
"family"	"Clostridiaceae"	1	1	6056587	6056587	"adoring_lalande - Gold Standard_1"
"family"	"Peptostreptococcaceae"	1	1	5487156	5487156	"adoring_lalande - Gold Standard_1"
"family"	"Pseudomonadaceae"	1	1	5477884	5477884	"adoring_lalande - Gold Standard_1"
"family"	"Enterobacteriaceae"	1	1	5419845	5419845	"adoring_lalande - Gold Standard_1"
"family"	"Xanthobacteraceae"	1	1	5026224	5026224	"adoring_lalande - Gold Standard_1"
"family"	"Halobacteriaceae"	1	1	4877686	4877686	"adoring_lalande - Gold Standard_1"
"family"	"Lachnospiraceae"	1	1	4834992	4834992	"adoring_lalande - Gold Standard_1"
"family"	"Sphingobacteriaceae"	1	1	4779416	4779416	"adoring_lalande - Gold Standard_1"
"family"	"Sphingomonadaceae"	1	1	3733085	3733085	"adoring_lalande - Gold Standard_1"
"family"	"Desulfovibrionaceae"	1	1	3111934	3111934	"adoring_lalande - Gold Standard_1"
"family"	"Bacillaceae"	1	1	2948556	2948556	"adoring_lalande - Gold Standard_1"
"family"	"Nitrosomonadaceae"	1	1	2734309	2734309	"adoring_lalande - Gold Standard_1"
"family"	"Peptococcaceae"	1	1	2625413	2625413	"adoring_lalande - Gold Standard_1"
"family"	"Enterococcaceae"	1	1	2396848	2396848	"adoring_lalande - Gold Standard_1"
"family"	"Porphyromonadaceae"	1	1	2044131	2044131	"adoring_lalande - Gold Standard_1"
"family"	"Picrophilaceae"	1	1	1534116	1534116	"adoring_lalande - Gold Standard_1"
"family"	"Prevotellaceae"	1	1	738955	738955	"adoring_lalande - Gold Standard_1"
"genus"	"Phaeospirillum"	1	1	15012162	15012162	"adoring_lalande - Gold Standard_1"
"genus"	"Sinorhizobium"	1	1	13774939	13774939	"adoring_lalande - Gold Standard_1"
"genus"	"Paracoccus"	1	1	9589943	9589943	"adoring_lalande - Gold Standard_1"
"genus"	"Vibrio"	1	1	8287247	8287247	"adoring_lalande - Gold Standard_1"
"genus"	"Rhodobacter"	1	1	7530868	7530868	"adoring_lalande - Gold Standard_1"
"genus"	"Sporosarcina"	1	1	7245311	7245311	"adoring_lalande - Gold Standard_1"
"genus"	"Azospirillum"	1	1	7141886	7141886	"adoring_lalande - Gold Standard_1"
"genus"	"Azotobacter"	1	1	5477884	5477884	"adoring_lalande - Gold Standard_1"
"genus"	"Rahnella"	1	1	5419845	5419845	"adoring_lalande - Gold Standard_1"
"genus"	"Thermoanaerobacter"	1	1	5263147	5263147	"adoring_lalande - Gold Standard_1"
"genus"	"Moorella"	1	1	5136963	5136963	"adoring_lalande - Gold Standard_1"
"genus"	"Xanthobacter"	1	1	5026224	5026224	"adoring_lalande - Gold Standard_1"
"genus"	"Halobacterium"	1	1	4877686	4877686	"adoring_lalande - Gold Standard_1"
"genus"	"Butyrivibrio"	1	1	4834992	4834992	"adoring_lalande - Gold Standard_1"
"genus"	"Pedobacter"	1	1	4779416	4779416	"adoring_lalande - Gold Standard_1"
"genus"	"Sphingomonas"	1	1	3733085	3733085	"adoring_lalande - Gold Standard_1"
"genus"	"Butyricicoccus"	1	1	3268385	3268385	"adoring_lalande - Gold Standard_1"
"genus"	"Desulfovibrio"	1	1	3111934	3111934	"adoring_lalande - Gold Standard_1"
"genus"	"Bacillus"	1	1	2948556	2948556	"adoring_lalande - Gold Standard_1"
"genus"	"Intestinibacter"	1	1	2937124	2937124	"adoring_lalande - Gold Standard_1"
"genus"	"Clostridium"	1	1	2788202	2788202	"adoring_lalande - Gold Standard_1"
"genus"	"Nitrosomonas"	1	1	2734309	2734309	"adoring_lalande - Gold Standard_1"
"genus"	"Desulfotomaculum"	1	1	2625413	2625413	"adoring_lalande - Gold Standard_1"
