1021_A	Root53
1021_AC	Root224
1021_AE	Root231
1021_AG	Root236
1021_AH	Root239
1021_AI	Root240
1021_AN	Root258
1021_AR	Root274
1021_AZ	Root558
1021_B	Root60
1021_BA	Root559
1021_BD	Root562
1021_BE	Root564
1021_BF	Root565
1021_F	Root70
1021_G	Root71
1021_H	Root74
1021_I	Root86
1021_L	Root100
1021_M	Root105
1021_N	Root127
1021_O	Root135
1021_Q	Root140
1021_R	Root142
1021_S	Root149
1021_T	Root166
1021_U	Root170
1021_W	Root181
1021_Y	Root186
1139_AC	Root268
1139_AH	Root420
1139_AJ	Root491
1139_AK	Root630
1139_AN	Root666
1139_AO	Root670
1139_AP	Root682
1139_AQ	Root685
1139_AR	Root700
1139_AS	Root708
1139_AX	Root266
1139_AY	Root413D1
1139_AZ	Root66
1139_BC	Root342
1139_BD	Root343
1139_BE	Root431
1139_BG	Root473
1139_BH	Root667
1139_BI	Root123D2
1139_BK	Root214
1139_BL	Root402
1139_BM	Root604
1139_BN	Root621
1139_BO	Root190
1139_BQ	Root9
1139_BS	Root436
1139_BT	Root614
1139_BU	Root627
1139_BV	Root635
1139_BW	Root679
1139_BY	Root483D1
1139_BZ	Root487D2Y
1139_C	Root29
1139_CA	Root76
1139_CB	Root102
1139_CC	Root180
1139_CD	Root219
1139_CE	Root322
1139_CG	Root423
1139_CH	Root456
1139_CI	Root482
1139_CK	Root695
1139_CL	Root901
1139_CM	Root112D2
1139_CP	Root482D2
1139_F	Root81
1139_G	Root83
1139_I	Root85
1139_J	Root122
1139_M	Root151
1139_O	Root332
1139_P	Root401
1139_Q	Root16D2
1139_R	Root336D2
1139_S	Root31
1139_U	Root73
1139_V	Root77
1220_AA	Soil745
1220_AB	Soil748
1220_AC	Soil750
1220_AF	Soil762
1220_AG	Soil763
1220_AH	Soil764
1220_AI	Soil766
1220_AK	Soil773
1220_AL	Soil777
1220_AM	Soil782
1220_AP	Soil796
1220_AQ	Soil797
1220_AS	Soil809
1220_AU	Soil811
1220_AV	Root916
1220_AZ	Root1217
1220_B	Root79
1220_BA	Root1237
1220_BC	Root1310
1220_BE	Root1497
1220_BH	Root198D2
1220_BI	Root444D2
1220_BK	Root472D3
1220_BL	Root483D2
1220_BM	Root519D3
1220_BO	Soil724D2
1220_BP	Root744D2
1220_BQ	Soil768D1
1220_BT	Root227
1220_BU	Root264
1220_BV	Root278
1220_BW	Root280D1
1220_C	Root101
1220_CC	Root172
1220_CD	Root569
1220_CE	Root563
1220_CG	Root554
1220_CH	Root187
1220_CI	Root553
1220_CK	Root61
1220_D	Root107
1220_F	Root154
1220_G	Root189
1220_H	Root217
1220_I	Root329
1220_K	Root344
1220_L	Root369
1220_M	Root404
1220_N	Root480
1220_Q	Soil535
1220_R	Soil538
1220_T	Root662
1220_U	Root680
1220_V	Root690
1220_W	Root710
1220_Y	Soil729
1220_Z	Soil736
1285_A	Leaf15
1285_AB	Leaf222
1285_AE	Leaf465
1285_AF	Leaf274
1285_AG	Leaf126
1285_AH	Leaf363
1285_AI	Leaf113
1285_AJ	Leaf244
1285_AM	Leaf469
1285_AN	Leaf406
1285_AO	Leaf208
1285_AP	Leaf374
1285_AQ	Leaf30
1285_AR	Leaf90
1285_AT	Leaf28
1285_AV	Leaf383
1285_AW	Leaf257
1285_AY	Leaf296
1285_AZ	Leaf198
1285_BA	Leaf3
1285_BB	Leaf32
1285_BC	Leaf226
1285_BE	Leaf258
1285_BG	Leaf439
1285_BI	Leaf357
1285_BJ	Leaf49
1285_BK	Leaf412
1285_BL	Leaf145
1285_BN	Leaf405
1285_BP	Leaf407
1285_BQ	Leaf265
1285_BS	Leaf86
1285_BT	Leaf148
1285_BU	Leaf288
1285_BW	Leaf82
1285_BX	Leaf172
1285_BY	Leaf369
1285_BZ	Leaf92
1285_C	Leaf299
1285_CA	Leaf263
1285_CB	Leaf88
1285_CC	Leaf280
1285_CD	Leaf436
1285_CH	Leaf242
1285_CI	Leaf72
1285_CJ	Leaf466
1285_CL	Leaf441
1285_CM	Leaf434
1285_CN	Leaf96
1285_CO	Leaf380
1285_CP	Leaf273
1285_CQ	Leaf76
1285_CR	Leaf67
1285_D	Leaf294
1285_E	Leaf336
1285_F	Leaf34
1285_G	Leaf26
1285_H	Leaf161
1285_I	Leaf44
1285_K	Leaf456
1285_L	Leaf233
1285_M	Leaf337
1285_N	Leaf267
1285_O	Leaf48
1285_Q	Leaf94
1285_T	Leaf325
1285_U	Leaf306
1285_W	Leaf93
1285_X	Leaf38
1285_Y	Leaf104
1285_Z	Leaf339
1286_A	Leaf254
1286_AA	Leaf42
1286_AB	Leaf454
1286_AC	Leaf83
1286_AD	Leaf394
1286_AE	Leaf160
1286_AG	Leaf341
1286_AH	Leaf16
1286_AJ	Leaf164
1286_AK	Leaf399
1286_AL	Leaf91
1286_AM	Leaf396
1286_AN	Leaf179
1286_AQ	Leaf168
1286_AR	Leaf100
1286_AS	Leaf22
1286_AT	Leaf335
1286_AU	Leaf247
1286_AV	Leaf171
1286_AW	Leaf151
1286_AX	Leaf230
1286_AY	Leaf234
1286_AZ	Leaf11
1286_BA	Leaf102
1286_BC	Leaf50
1286_BE	Leaf210
1286_BF	Leaf155
1286_BG	Leaf131
1286_BH	Leaf121
1286_BI	Leaf384
1286_BJ	Leaf191
1286_BK	Leaf64
1286_BL	Leaf8
1286_BN	Leaf5
1286_BO	Leaf89
1286_BP	Leaf283
1286_BQ	Leaf125
1286_BR	Leaf139
1286_BT	Leaf17
1286_BX	Leaf400
1286_BY	Leaf404
1286_C	Leaf20
1286_CA	Leaf117
1286_CB	Leaf314
1286_CC	Leaf324
1286_CD	Leaf111
1286_CE	Leaf321
1286_CF	Leaf130
1286_CG	Leaf446
1286_CH	Leaf127
1286_CI	Leaf185
1286_CJ	Leaf361
1286_CK	Leaf53
1286_CL	Leaf347
1286_CM	Leaf23
1286_CN	Leaf87
1286_CO	Leaf170
1286_CQ	Leaf10
1286_CR	Leaf420
1286_E	Leaf78
1286_F	Leaf9
1286_H	Leaf262
1286_I	Leaf108
1286_K	Leaf359
1286_L	Leaf371
1286_M	Leaf159
1286_N	Leaf343
1286_Q	Leaf13
1286_T	Leaf106
1286_U	Leaf24
1286_V	Leaf189
1286_W	Leaf129
1286_X	Leaf220
1287_AA	Leaf182
1287_AE	Root1277
1287_AF	Root1433D1
1287_AG	Leaf320
1287_AL	Root983
1287_AN	Root66D1
1287_AO	Leaf84
1287_AT	Root1203
1287_AV	Soil774
1287_AW	Leaf115
1287_B	Leaf177
1287_BF	Leaf85
1287_BG	Leaf202
1287_BL	Soil805
1287_BM	Leaf68
1287_BR	Root1220
1287_BU	Leaf307
1287_BV	Leaf99
1287_BW	Leaf415
1287_BZ	Root1221
1287_C	Leaf69
1287_CC	Leaf61
1287_CD	Leaf29
1287_CG	Root1480D1
1287_CH	Root1238
1287_CI	Root1455
1287_CK	Leaf154
1287_CL	Leaf123
1287_CM	Leaf453
1287_CP	Root1240
1287_D	Leaf137
1287_F	Root405
1287_G	Root1252
1287_H	Root1464
1287_I	Leaf112
1287_O	Root1257
1287_P	Root1471
1287_Y	Leaf70
1365_B	Root494
1365_D	Root608
1365_E	Root655
1365_F	Root672
1365_G	Root920
