binner	rank	bin	precision	recall	predicted_size	real_size
modest_babbage_1	superkingdom	Bacteria	0.99	0.97	541183968	553468052
modest_babbage_1	superkingdom	Archaea	0.51	0.40	5011184	6411802
modest_babbage_1	phylum	Proteobacteria	0.99	0.96	235514516	243932505
modest_babbage_1	phylum	Actinobacteria	0.97	0.98	146922642	145948197
modest_babbage_1	phylum	Firmicutes	0.99	0.94	110023365	116336594
modest_babbage_1	phylum	Bacteroidetes	0.99	0.93	42936318	45650742
modest_babbage_1	phylum	Euryarchaeota	0.97	0.36	2389946	6411802
modest_babbage_1	phylum	Tenericutes	0.99	1.00	1606492	1600014
modest_babbage_1	phylum	Cyanobacteria	0.00	nan	395166	0
modest_babbage_1	class	Actinobacteria	0.97	0.98	146922642	145948197
modest_babbage_1	class	Alphaproteobacteria	1.00	0.94	120196009	127454801
modest_babbage_1	class	Betaproteobacteria	1.00	0.99	78273803	78627440
modest_babbage_1	class	Clostridia	0.99	0.95	76398473	79844812
modest_babbage_1	class	Gammaproteobacteria	0.99	0.99	27742753	27773710
modest_babbage_1	class	Bacilli	0.99	0.84	27443287	32340827
modest_babbage_1	class	Sphingobacteriia	0.73	0.91	23798824	19013960
modest_babbage_1	class	Flavobacteriia	0.98	0.98	9496917	9442158
modest_babbage_1	class	Deltaproteobacteria	0.97	0.84	8774297	10076554
modest_babbage_1	class	Negativicutes	0.94	0.98	4330878	4150955
modest_babbage_1	class	Bacteroidia	0.58	0.73	3488510	2783086
modest_babbage_1	class	Cytophagia	0.95	0.16	2498936	14411538
modest_babbage_1	class	Mollicutes	0.99	1.00	1606492	1600014
modest_babbage_1	class	Thermoplasmata	0.99	1.00	1551926	1534116
modest_babbage_1	order	Actinomycetales	1.00	0.99	142323391	143462610
modest_babbage_1	order	Burkholderiales	1.00	1.00	66483046	66564525
modest_babbage_1	order	Clostridiales	0.99	0.93	65254316	69444702
modest_babbage_1	order	Rhizobiales	0.99	0.75	40643536	54087866
modest_babbage_1	order	Bacillales	0.99	0.83	24955832	29943979
