binner	rank	precision	recall	predicted_size	real_size
stoic_albattani_0	superkingdom	1.00	0.00	614550	450169050
stoic_albattani_0	phylum	0.00	nan	499950	0
stoic_albattani_0	phylum	0.00	nan	15900	0
stoic_albattani_0	phylum	1.00	0.00	10200	450169050
stoic_albattani_0	phylum	0.00	nan	3900	0
stoic_albattani_0	phylum	0.00	nan	900	0
stoic_albattani_0	phylum	0.00	nan	600	0
stoic_albattani_0	phylum	0.00	nan	300	0
stoic_albattani_0	phylum	0.00	nan	300	0
stoic_albattani_0	class	0.00	nan	346950	0
stoic_albattani_0	class	0.00	nan	32700	0
stoic_albattani_0	class	0.00	nan	14850	0
stoic_albattani_0	class	0.00	nan	11100	0
stoic_albattani_0	class	1.00	0.00	10200	450169050
stoic_albattani_0	class	0.00	nan	3900	0
stoic_albattani_0	class	0.00	nan	1800	0
stoic_albattani_0	class	0.00	nan	900	0
stoic_albattani_0	class	0.00	nan	600	0
stoic_albattani_0	class	0.00	nan	300	0
stoic_albattani_0	class	0.00	nan	300	0
stoic_albattani_0	order	0.00	nan	346200	0
stoic_albattani_0	order	0.00	nan	32700	0
stoic_albattani_0	order	0.00	nan	14850	0
stoic_albattani_0	order	0.00	nan	8850	0
stoic_albattani_0	order	0.00	nan	8250	0
stoic_albattani_0	order	0.00	nan	3900	0
stoic_albattani_0	order	0.00	nan	2100	0
stoic_albattani_0	order	0.00	nan	1800	0
stoic_albattani_0	order	0.00	nan	900	0
stoic_albattani_0	order	0.00	nan	450	0
stoic_albattani_0	order	0.00	nan	300	0
stoic_albattani_0	order	0.00	nan	300	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	family	0.00	nan	133500	0
stoic_albattani_0	family	0.00	nan	121950	0
stoic_albattani_0	family	0.00	nan	41850	0
stoic_albattani_0	family	0.00	nan	32700	0
stoic_albattani_0	family	0.00	nan	10050	0
stoic_albattani_0	family	0.00	nan	8250	0
stoic_albattani_0	family	0.00	nan	8100	0
stoic_albattani_0	family	0.00	nan	3900	0
stoic_albattani_0	family	0.00	nan	2250	0
stoic_albattani_0	family	0.00	nan	1800	0
stoic_albattani_0	family	0.00	nan	1200	0
stoic_albattani_0	family	0.00	nan	900	0
stoic_albattani_0	family	0.00	nan	900	0
stoic_albattani_0	family	0.00	nan	750	0
stoic_albattani_0	family	0.00	nan	600	0
stoic_albattani_0	family	0.00	nan	600	0
stoic_albattani_0	family	0.00	nan	600	0
stoic_albattani_0	family	0.00	nan	450	0
stoic_albattani_0	family	0.00	nan	450	0
stoic_albattani_0	family	0.00	nan	450	0
stoic_albattani_0	family	0.00	nan	450	0
stoic_albattani_0	family	0.00	nan	300	0
stoic_albattani_0	family	0.00	nan	300	0
