"Assembly"	"X..contigs.....0.bp."	"X..contigs.....1000.bp."	"X..contigs.....5000.bp."	"X..contigs.....10000.bp."	"X..contigs.....25000.bp."	"X..contigs.....50000.bp."	"Total.length.....0.bp."	"Total.length.....1000.bp."	"Total.length.....5000.bp."	"Total.length.....10000.bp."	"Total.length.....25000.bp."	"Total.length.....50000.bp."	"X..contigs"	"Largest.contig"	"Total.length"	"Reference.length"	"N50"	"N75"	"L50"	"L75"	"X..misassemblies"	"X..misassembled.contigs"	"Misassembled.contigs.length"	"X..local.misassemblies"	"X..unaligned.contigs"	"Unaligned.length"	"Genome.fraction...."	"Duplication.ratio"	"X..N.s.per.100.kbp"	"X..mismatches.per.100.kbp"	"X..indels.per.100.kbp"	"X..predicted.genes..unique."	"X..predicted.genes.....0.bp."	"X..predicted.genes.....300.bp."	"X..predicted.genes.....1500.bp."	"X..predicted.genes.....3000.bp."	"Largest.alignment"	"NA50"	"NA75"	"LA50"	"LA75"	"name"
"Gold_Standard_3"	42006	36808	26762	22367	16695	12249	2796744700	2794052396	2770598537	2739523364	2646187311	2485263451	39140	3356938	2795766632	2798927521	249666	108653	2886	7111	0	0	0	0	"2 + 0 part"	2195	98.901	1.01	1.02	0	0.01	2351198	2639365	2332799	361902	40403	3356938	249666	108653	2886	7111	"Gold Standard"
"fervent_mayer_0"	1430157	322649	77589	36759	10256	2685	2091590438	1676168363	1158009285	873609366	469721032	212476049	574094	424109	1852281271	2798927521	8837	2637	42353	141904	1555	1500	15802361	1270	"34 + 1172 part"	115902	65.725	1.007	0	9.84	0.17	2105340	2108293	1724572	187725	18803	423891	8792	2625	42554	142551	"Minia k21-k91"
"suspicious_pare_0"	865882	159074	23631	9425	2319	818	905252385	614255702	348329831	250684618	144697364	93891883	344889	562620	742565124	2798927521	4281	1381	28600	110046	982	915	16714804	378	"12 + 358 part"	53750	25.613	1.036	0	34.3	0.62	933321	941215	743748	60510	5015	562620	4253	1374	28888	110815	"Ray k51"
"backstabbing_carson_0"	501846	97987	9258	3776	1036	332	493266698	291837029	132415475	95005907	54000571	30081856	265198	571560	407196128	2798927521	2024	917	32997	112165	379	349	4860104	8930	"8 + 134 part"	19760	13.911	1.046	267.5	27.1	0.42	574964	578099	438867	24294	1617	571023	1990	909	33641	113715	"Ray Blacklight k64"
"suspicious_pare_2"	245640	42721	3712	1379	309	110	218901876	120031110	49910744	34053976	18273977	11607874	117904	479230	171278818	2798927521	1842	878	16560	51732	159	155	1977513	61	"0 + 69 part"	4150	5.894	1.038	0	28.37	0.37	244594	246138	186061	10076	630	479230	1839	877	16634	51868	"Ray k71"
"suspicious_pare_4"	24017	3255	30	7	0	0	16650847	5295593	235828	84284	0	0	13847	16939	12323681	2798927521	886	637	4178	8345	11	11	32420	1	"0 + 5 part"	249	0.431	1.022	0	6.92	0.04	21668	21692	15249	219	2	16939	885	636	4183	8352	"Ray k91"
"berserk_wozniak_0"	878467	352506	79617	37513	11342	3307	2075841489	1799818530	1223297254	931236508	530859386	255205293	587607	416381	1965527674	2798927521	8854	2652	42998	149435	8831	8572	66066894	1923	"365 + 15995 part"	2278284	69.337	1.012	0	70.46	1.59	2240863	2242834	1829223	198027	19761	416381	8669	2596	43905	152641	"Megahit k21-k91"
"stupefied_mclean_0"	795678	326996	70947	33219	11431	4536	2061075745	1812477435	1272191622	1011159792	679533551	442246665	542635	826602	1964675490	2798927521	10788	2899	30444	124374	7029	6755	78917584	1893	"281 + 12397 part"	1928937	69.43	1.011	0	63.68	1.51	2203585	2205688	1810295	203246	20722	826602	10549	2841	31226	127167	"Megahit ep k21-k91"
"insane_brattain_0"	745535	315940	70879	33204	11453	4572	2032694693	1804902145	1282687009	1021926664	690880825	453262423	513099	569098	1944201212	2798927521	11444	3098	28537	115796	7538	7228	86838837	2090	"5188 + 13271 part"	40876445	67.304	1.011	0	71.86	1.86	2165055	2167124	1782274	203676	20851	569098	10382	2745	31073	128437	"Megahit ep mtl200 k21-k91"
"clever_hypatia_1"	38035547	327734	23001	4545	163	3	3341833856	755728097	187771303	64258111	4893788	176572	785677	63910	1072704958	2798927521	1674	897	155645	379319	308	305	704042	159	"4 + 91 part"	7635	38.181	1.004	0	5.47	0.04	1584184	1584184	1154535	62107	5057	63910	1674	896	155703	379463	"Velour k31 c2.0"
"sick_colden_0"	17755147	213537	18099	5772	877	92	2266052571	544101310	186160991	102489533	30861485	5437112	574665	65535	790491688	2798927521	1703	858	96993	266309	194	194	651035	58	"16 + 139 part"	21150	28.118	1.004	0	0.63	0.02	1166794	1166794	853344	46112	4129	65535	1702	858	97041	266410	"Velour k31 c4.01"
"jolly_mcclintock_0"	6231986	287501	20625	6244	1045	154	1996610487	685834327	211686973	114003125	38601142	8977866	842405	65351	1064353860	2798927521	1444	796	157988	414091	381	381	871204	161	"47 + 253 part"	56382	37.583	1.012	0	21.87	0.12	1590223	1590601	1189980	53871	3550	65351	1444	796	158062	414276	"Velour k63 c2.0"
"suspicious_mcclintock_0"	2815875	208167	10755	3363	634	127	1218280789	446702864	114710192	64863930	24748488	7756880	653803	65535	752687256	2798927521	1214	754	144013	344699	381	380	780486	158	"66 + 386 part"	92434	26.645	1.009	0	19.21	0.24	1171873	1172079	865496	31234	1769	65535	1213	754	144109	344933	"Velour k63 c4.01"
"goofy_tesla_0"	1519112	475313	54162	24191	6948	2327	2040940622	1622623166	849686062	642824724	382177795	224972818	745109	982017	1811857522	2798927521	4207	1542	66448	260315	2334	2292	9920614	999	"1708 + 2968 part"	2592339	63.976	1.011	43.91	34.83	0.93	2219054	2219168	1768574	154919	13759	981884	4194	1534	66732	261431	"Meraga k33-k63"
"jovial_tesla_0"	465423	84830	9462	3662	928	311	456112619	275699940	134963473	95343087	54542429	33788770	228594	733030	373347299	2798927521	2479	964	24603	89222	430	395	5670835	1773	"11 + 148 part"	23442	12.886	1.035	14.13	33.29	1.61	512483	516436	396010	24896	1710	733030	2466	962	24786	89645	"A* k63"
