binner	rank	precision	recall	predicted_size	real_size
stoic_albattani_0	superkingdom	1.00	0.03	58020150	1801221600
stoic_albattani_0	superkingdom	0.00	nan	33000	0
stoic_albattani_0	superkingdom	0.00	nan	2400	0
stoic_albattani_0	superkingdom	0.00	nan	2250	0
stoic_albattani_0	phylum	1.00	0.04	34611300	942277800
stoic_albattani_0	phylum	1.00	0.03	22790550	848095350
stoic_albattani_0	phylum	0.59	0.00	71550	10848450
stoic_albattani_0	phylum	0.00	nan	29250	0
stoic_albattani_0	phylum	0.00	nan	25650	0
stoic_albattani_0	phylum	0.00	nan	8700	0
stoic_albattani_0	phylum	0.00	nan	4500	0
stoic_albattani_0	phylum	0.00	nan	3600	0
stoic_albattani_0	phylum	0.00	nan	3300	0
stoic_albattani_0	phylum	0.00	nan	2550	0
stoic_albattani_0	phylum	0.00	nan	2100	0
stoic_albattani_0	phylum	0.00	nan	900	0
stoic_albattani_0	phylum	0.00	nan	600	0
stoic_albattani_0	phylum	0.00	nan	450	0
stoic_albattani_0	phylum	0.00	nan	450	0
stoic_albattani_0	phylum	0.00	nan	300	0
stoic_albattani_0	phylum	0.00	nan	300	0
stoic_albattani_0	phylum	0.00	nan	150	0
stoic_albattani_0	class	1.00	0.03	27676650	921986100
stoic_albattani_0	class	1.00	0.03	22790550	848095350
stoic_albattani_0	class	0.81	0.03	852900	20291700
stoic_albattani_0	class	0.00	nan	179400	0
stoic_albattani_0	class	0.68	0.00	59700	10848450
stoic_albattani_0	class	0.00	nan	15450	0
stoic_albattani_0	class	0.00	nan	9150	0
stoic_albattani_0	class	0.00	nan	8850	0
stoic_albattani_0	class	0.00	nan	6750	0
stoic_albattani_0	class	0.00	nan	4500	0
stoic_albattani_0	class	0.00	nan	3750	0
stoic_albattani_0	class	0.00	nan	3600	0
stoic_albattani_0	class	0.00	nan	3000	0
stoic_albattani_0	class	0.00	nan	1800	0
stoic_albattani_0	class	0.00	nan	1800	0
stoic_albattani_0	class	0.00	nan	1500	0
stoic_albattani_0	class	0.00	nan	1350	0
stoic_albattani_0	class	0.00	nan	1200	0
stoic_albattani_0	class	0.00	nan	1200	0
stoic_albattani_0	class	0.00	nan	600	0
stoic_albattani_0	class	0.00	nan	450	0
stoic_albattani_0	class	0.00	nan	450	0
stoic_albattani_0	class	0.00	nan	300	0
stoic_albattani_0	class	0.00	nan	300	0
stoic_albattani_0	class	0.00	nan	300	0
stoic_albattani_0	class	0.00	nan	150	0
stoic_albattani_0	order	1.00	0.03	27149850	921986100
stoic_albattani_0	order	1.00	0.03	22739550	848095350
stoic_albattani_0	order	0.97	0.03	705000	20291700
stoic_albattani_0	order	0.00	nan	146550	0
stoic_albattani_0	order	0.00	nan	79050	0
stoic_albattani_0	order	0.68	0.00	59550	10848450
stoic_albattani_0	order	0.00	nan	28650	0
stoic_albattani_0	order	0.00	nan	25350	0
stoic_albattani_0	order	0.00	nan	23400	0
stoic_albattani_0	order	0.00	nan	16050	0
stoic_albattani_0	order	0.00	nan	15450	0
stoic_albattani_0	order	0.00	nan	15300	0
stoic_albattani_0	order	0.00	nan	12450	0
stoic_albattani_0	order	0.00	nan	12150	0
stoic_albattani_0	order	0.00	nan	9150	0
stoic_albattani_0	order	0.00	nan	9000	0
stoic_albattani_0	order	0.00	nan	8100	0
stoic_albattani_0	order	0.00	nan	8100	0
stoic_albattani_0	order	0.00	nan	8100	0
stoic_albattani_0	order	0.00	nan	6750	0
stoic_albattani_0	order	0.00	nan	6750	0
