binner	rank	precision	recall	predicted_size	real_size
modest_babbage_1	superkingdom	0.97	0.99	138853006	136397801
modest_babbage_1	superkingdom	1.00	0.40	2572117	6411802
modest_babbage_1	phylum	1.00	1.00	86563150	86840326
modest_babbage_1	phylum	1.00	0.98	41312044	41994973
modest_babbage_1	phylum	1.00	0.90	6839912	7562502
modest_babbage_1	phylum	0.00	nan	3856371	0
modest_babbage_1	phylum	1.00	0.36	2328468	6411802
modest_babbage_1	phylum	0.00	nan	27624	0
modest_babbage_1	class	1.00	1.00	61576538	61809107
modest_babbage_1	class	1.00	0.98	28764130	29404258
modest_babbage_1	class	1.00	0.99	18908933	19184976
modest_babbage_1	class	1.00	0.99	12425538	12590715
modest_babbage_1	class	1.00	1.00	4772925	4779416
modest_babbage_1	class	0.00	nan	3856371	0
modest_babbage_1	class	0.99	1.00	3126628	3111934
modest_babbage_1	class	0.95	0.99	2846347	2734309
modest_babbage_1	class	1.00	0.73	2037546	2783086
modest_babbage_1	class	1.00	1.00	1534116	1534116
modest_babbage_1	class	0.00	nan	11522	0
modest_babbage_1	class	0.00	nan	8691	0
modest_babbage_1	class	0.00	nan	5940	0
modest_babbage_1	order	1.00	1.00	22189086	22154048
modest_babbage_1	order	0.99	1.00	19216327	19004148
modest_babbage_1	order	1.00	0.99	18717246	18801163
modest_babbage_1	order	1.00	0.98	16868674	17120811
modest_babbage_1	order	1.00	0.99	10070612	10193867
modest_babbage_1	order	1.00	0.90	9327456	10400110
modest_babbage_1	order	1.00	0.99	8232964	8287247
modest_babbage_1	order	1.00	0.98	5320415	5419845
modest_babbage_1	order	1.00	0.95	5219927	5477884
modest_babbage_1	order	1.00	1.00	4772925	4779416
modest_babbage_1	order	1.00	1.00	3733591	3733085
modest_babbage_1	order	1.00	1.00	3110111	3111934
modest_babbage_1	order	1.00	0.98	2675427	2734309
modest_babbage_1	order	1.00	0.98	2349005	2396848
modest_babbage_1	order	1.00	0.73	2037546	2783086
modest_babbage_1	order	1.00	1.00	1534116	1534116
modest_babbage_1	order	0.00	nan	217094	0
modest_babbage_1	order	0.00	nan	142126	0
modest_babbage_1	order	0.00	nan	100519	0
modest_babbage_1	order	0.00	nan	28446	0
modest_babbage_1	order	0.00	nan	11522	0
modest_babbage_1	order	0.00	nan	9182	0
modest_babbage_1	order	0.00	nan	8691	0
modest_babbage_1	order	0.00	nan	3603	0
modest_babbage_1	order	0.00	nan	3222	0
modest_babbage_1	family	1.00	0.99	22069845	22154048
modest_babbage_1	family	1.00	0.98	16742492	17120811
modest_babbage_1	family	1.00	0.96	13219214	13774939
modest_babbage_1	family	1.00	0.88	9202385	10400110
modest_babbage_1	family	1.00	0.98	8164837	8287247
